word	onset	duration	trial_type
La	0.7	0.25	{'kind': 'word', 'word': 'La'}
sixième	1.0	0.25	{'kind': 'word', 'word': 'sixième'}
planète	1.3	0.25	{'kind': 'word', 'word': 'planète'}
était	1.6	0.25	{'kind': 'word', 'word': 'était'}
une	1.9	0.25	{'kind': 'word', 'word': 'une'}
planète	2.2	0.25	{'kind': 'word', 'word': 'planète'}
dix	2.5	0.25	{'kind': 'word', 'word': 'dix'}
fois	2.8000000000000007	0.25	{'kind': 'word', 'word': 'fois'}
plus	3.1000000000000005	0.25	{'kind': 'word', 'word': 'plus'}
vaste.	3.4000000000000004	0.25	{'kind': 'word', 'word': 'vaste'}
Elle	4.2	0.25	{'kind': 'word', 'word': 'Elle'}
était	4.500000000000001	0.25	{'kind': 'word', 'word': 'était'}
habitée	4.800000000000001	0.25	{'kind': 'word', 'word': 'habitée'}
par	5.1000000000000005	0.25	{'kind': 'word', 'word': 'par'}
un	5.400000000000001	0.25	{'kind': 'word', 'word': 'un'}
vieux	5.700000000000001	0.25	{'kind': 'word', 'word': 'vieux'}
monsieur	6.000000000000001	0.25	{'kind': 'word', 'word': 'monsieur'}
qui	6.300000000000001	0.25	{'kind': 'word', 'word': 'qui'}
écrivait	6.6000000000000005	0.25	{'kind': 'word', 'word': 'écrivait'}
d'énormes	6.900000000000001	0.25	{'kind': 'word', 'word': 'dénormes'}
livres.	7.200000000000001	0.25	{'kind': 'word', 'word': 'livres'}
«tiens!	8.0	0.25	{'kind': 'word', 'word': '«tiens'}
Voilà	8.8	0.25	{'kind': 'word', 'word': 'Voilà'}
un	9.1	0.25	{'kind': 'word', 'word': 'un'}
explorateur!»	9.400000000000002	0.25	{'kind': 'word', 'word': 'explorateur»'}
S'écria-t-il,	10.2	0.25	{'kind': 'word', 'word': 'Sécriatil'}
quand	10.5	0.25	{'kind': 'word', 'word': 'quand'}
il	10.8	0.25	{'kind': 'word', 'word': 'il'}
aperçut	11.1	0.25	{'kind': 'word', 'word': 'aperçut'}
le	11.4	0.25	{'kind': 'word', 'word': 'le'}
petit	11.7	0.25	{'kind': 'word', 'word': 'petit'}
prince.	12.0	0.25	{'kind': 'word', 'word': 'prince'}
Le	12.8	0.25	{'kind': 'word', 'word': 'Le'}
petit	13.1	0.25	{'kind': 'word', 'word': 'petit'}
prince	13.4	0.25	{'kind': 'word', 'word': 'prince'}
s'assit	13.7	0.25	{'kind': 'word', 'word': 'sassit'}
sur	14.0	0.25	{'kind': 'word', 'word': 'sur'}
la	14.3	0.25	{'kind': 'word', 'word': 'la'}
table	14.6	0.25	{'kind': 'word', 'word': 'table'}
et	14.9	0.25	{'kind': 'word', 'word': 'et'}
souffla	15.2	0.25	{'kind': 'word', 'word': 'souffla'}
un	15.500000000000002	0.25	{'kind': 'word', 'word': 'un'}
peu.	15.8	0.25	{'kind': 'word', 'word': 'peu'}
Il	16.6	0.25	{'kind': 'word', 'word': 'Il'}
avait	16.900000000000002	0.25	{'kind': 'word', 'word': 'avait'}
déjà	17.200000000000003	0.25	{'kind': 'word', 'word': 'déjà'}
tant	17.5	0.25	{'kind': 'word', 'word': 'tant'}
voyagé!	17.8	0.25	{'kind': 'word', 'word': 'voyagé'}
«d'où	18.6	0.25	{'kind': 'word', 'word': '«doù'}
viens-tu?	18.9	0.25	{'kind': 'word', 'word': 'vienstu'}
Lui	19.700000000000003	0.25	{'kind': 'word', 'word': 'Lui'}
dit	20.000000000000004	0.25	{'kind': 'word', 'word': 'dit'}
le	20.3	0.25	{'kind': 'word', 'word': 'le'}
vieux	20.6	0.25	{'kind': 'word', 'word': 'vieux'}
monsieur.	20.9	0.25	{'kind': 'word', 'word': 'monsieur'}
Quel	21.700000000000003	0.25	{'kind': 'word', 'word': 'Quel'}
est	22.000000000000004	0.25	{'kind': 'word', 'word': 'est'}
ce	22.3	0.25	{'kind': 'word', 'word': 'ce'}
gros	22.6	0.25	{'kind': 'word', 'word': 'gros'}
livre?	22.9	0.25	{'kind': 'word', 'word': 'livre'}
Dit	23.700000000000003	0.25	{'kind': 'word', 'word': 'Dit'}
le	24.000000000000004	0.25	{'kind': 'word', 'word': 'le'}
petit	24.3	0.25	{'kind': 'word', 'word': 'petit'}
prince.	24.6	0.25	{'kind': 'word', 'word': 'prince'}
Que	25.4	0.25	{'kind': 'word', 'word': 'Que'}
faites-vous	25.700000000000003	0.25	{'kind': 'word', 'word': 'faitesvous'}
ici?	26.000000000000004	0.25	{'kind': 'word', 'word': 'ici'}
Je	26.8	0.25	{'kind': 'word', 'word': 'Je'}
suis	27.1	0.25	{'kind': 'word', 'word': 'suis'}
géographe,	27.4	0.25	{'kind': 'word', 'word': 'géographe'}
dit	27.700000000000003	0.25	{'kind': 'word', 'word': 'dit'}
le	28.000000000000004	0.25	{'kind': 'word', 'word': 'le'}
vieux	28.3	0.25	{'kind': 'word', 'word': 'vieux'}
monsieur.	28.6	0.25	{'kind': 'word', 'word': 'monsieur'}
Qu'est-ce	29.4	0.25	{'kind': 'word', 'word': 'Questce'}
qu'un	29.700000000000003	0.25	{'kind': 'word', 'word': 'quun'}
géographe?	30.000000000000004	0.25	{'kind': 'word', 'word': 'géographe'}
C'est	30.800000000000004	0.25	{'kind': 'word', 'word': 'Cest'}
un	31.1	0.25	{'kind': 'word', 'word': 'un'}
savant	31.4	0.25	{'kind': 'word', 'word': 'savant'}
