word	onset	duration
J'avais	0.7	0.25
ainsi	1.0	0.25
appris	1.3	0.25
une	1.6	0.25
seconde	1.9000000000000001	0.25
chose	2.2	0.25
très	2.5	0.25
importante:	2.8000000000000007	0.25
c'est	3.1000000000000005	0.25
que	3.4000000000000004	0.25
sa	3.7	0.25
planète	4.000000000000001	0.25
d'origine	4.300000000000001	0.25
était	4.6000000000000005	0.25
à	4.900000000000001	0.25
peine	5.200000000000001	0.25
plus	5.500000000000001	0.25
grande	5.800000000000001	0.25
qu'une	6.1000000000000005	0.25
maison!	6.400000000000001	0.25
Ça	6.700000000000001	0.25
ne	7.000000000000001	0.25
pouvait	7.300000000000002	0.25
pas	7.600000000000001	0.25
m'étonner	7.900000000000001	0.25
beaucoup.	8.200000000000001	0.25
Je	8.5	0.25
savais	8.8	0.25
bien	9.100000000000001	0.25
qu'en	9.4	0.25
dehors	9.700000000000001	0.25
des	10.0	0.25
grosses	10.3	0.25
planètes	10.600000000000001	0.25
comme	10.9	0.25
la	11.200000000000001	0.25
terre,	11.5	0.25
jupiter,	11.8	0.25
mars,	12.100000000000001	0.25
vénus,	12.4	0.25
auxquelles	12.700000000000001	0.25
on	13.000000000000002	0.25
a	13.3	0.25
donné	13.600000000000001	0.25
des	13.900000000000002	0.25
noms,	14.200000000000001	0.25
il	14.500000000000002	0.25
y	14.8	0.25
en	15.100000000000001	0.25
a	15.400000000000002	0.25
des	15.700000000000001	0.25
centaines	16.000000000000004	0.25
d'autres	16.3	0.25
qui	16.6	0.25
sont	16.900000000000002	0.25
quelquefois	17.200000000000003	0.25
si	17.500000000000004	0.25
petites	17.8	0.25
qu'on	18.1	0.25
a	18.400000000000002	0.25
beaucoup	18.700000000000003	0.25
de	19.000000000000004	0.25
mal	19.3	0.25
à	19.6	0.25
les	19.900000000000002	0.25
apercevoir	20.200000000000003	0.25
au	20.500000000000004	0.25
télescope.	20.8	0.25
Quand	21.1	0.25
un	21.400000000000002	0.25
astronome	21.700000000000003	0.25
découvre	22.000000000000004	0.25
l'une	22.3	0.25
d'elles,	22.6	0.25
il	22.900000000000002	0.25
lui	23.200000000000003	0.25
donne	23.500000000000004	0.25
pour	23.800000000000004	0.25
nom	24.1	0.25
un	24.400000000000002	0.25
numéro.	24.700000000000003	0.25
Il	25.000000000000004	0.25
l'appelle	25.300000000000004	0.25
par	25.6	0.25
exemple:	25.900000000000002	0.25
"""l'astéroïde"	26.200000000000003	0.25
"325""."	26.500000000000004	0.25
J'ai	26.800000000000004	0.25
de	27.100000000000005	0.25
sérieuses	27.400000000000002	0.25
raisons	27.700000000000003	0.25
de	28.000000000000004	0.25
croire	28.300000000000004	0.25
que	28.600000000000005	0.25
la	28.900000000000002	0.25
planète	29.200000000000003	0.25
d'où	29.500000000000004	0.25
venait	29.800000000000004	0.25
le	30.100000000000005	0.25
petit	30.400000000000002	0.25
prince	30.700000000000003	0.25
est	31.000000000000004	0.25
