word	position	sentence_id	is_last_word
Lorsque	1	1	0
j	2	1	0
avais	3	1	0
six	4	1	0
ans	5	1	0
j	6	1	0
ai	7	1	0
vu	8	1	0
une	9	1	0
fois	10	1	0
une	11	1	0
magnifique	12	1	0
image	13	1	0
dans	14	1	0
un	15	1	0
livre	16	1	0
sur	17	1	0
la	18	1	0
forêt	19	1	0
vierge	20	1	0
qui	21	1	0
s	22	1	0
appelait	23	1	0
histoires	24	1	0
vécues	25	1	1
Ça	1	2	0
représentait	2	2	0
un	3	2	0
serpent	4	2	0
boa	5	2	0
qui	6	2	0
avalait	7	2	0
un	8	2	0
fauve	9	2	1
Voilà	1	3	0
la	2	3	0
copie	3	3	0
du	4	3	0
dessin	5	3	1
On	1	4	0
disait	2	4	0
dans	3	4	0
le	4	4	0
livre	5	4	0
les	6	4	0
serpents	7	4	0
boas	8	4	0
avalent	9	4	0
leur	10	4	0
proie	11	4	0
tout	12	4	0
entière	13	4	0
sans	14	4	0
la	15	4	0
mâcher	16	4	1
Ensuite	1	5	0
ils	2	5	0
ne	3	5	0
peuvent	4	5	0
plus	5	5	0
bouger	6	5	0
et	7	5	0
ils	8	5	0
dorment	9	5	0
pendant	10	5	0
les	11	5	0
six	12	5	0
mois	13	5	0
de	14	5	0
leur	15	5	0
digestion	16	5	1
J	1	6	0
ai	2	6	0
alors	3	6	0
beaucoup	4	6	0
réfléchi	5	6	0
sur	6	6	0
les	7	6	0
aventures	8	6	0
de	9	6	0
la	10	6	0
jungle	11	6	0
et	12	6	0
à	13	6	0
mon	14	6	0
tour	15	6	0
j	16	6	0
ai	17	6	0
réussi	18	6	0
avec	19	6	0
un	20	6	0
crayon	21	6	0
de	22	6	0
couleur	23	6	0
à	24	6	0
tracer	25	6	0
mon	26	6	0
premier	27	6	0
dessin	28	6	1
Mon	1	7	0
dessin	2	7	0
numéro	3	7	0
1	4	7	1
Il	1	8	0
était	2	8	0
comme	3	8	0
ça	4	8	0
j	5	8	0
ai	6	8	0
montré	7	8	0
mon	8	8	0
chef	9	8	0
d	10	8	0
oeuvre	11	8	0
aux	12	8	0
grandes	13	8	0
personnes	14	8	0
et	15	8	0
je	16	8	0
leur	17	8	0
ai	18	8	0
demandé	19	8	0
si	20	8	0
mon	21	8	0
dessin	22	8	0
leur	23	8	0
faisait	24	8	0
peur	25	8	1
Elles	1	9	0
m	2	9	0
ont	3	9	0
répondu	4	9	0
pourquoi	5	9	0
un	6	9	0
chapeau	7	9	0
ferait	8	9	0
il	9	9	0
peur	10	9	1
Mon	1	10	0
dessin	2	10	0
ne	3	10	0
représentait	4	10	0
pas	5	10	0
un	6	10	0
chapeau	7	10	1
Il	1	11	0
représentait	2	11	0
un	3	11	0
serpent	4	11	0
boa	5	11	0
qui	6	11	0
digérait	7	11	0
un	8	11	0
éléphant	9	11	1
J	1	12	0
ai	2	12	0
alors	3	12	0
dessiné	4	12	0
l	5	12	0
intérieur	6	12	0
du	7	12	0
serpent	8	12	0
boa	9	12	0
afin	10	12	0
que	11	12	0
les	12	12	0
grandes	13	12	0
personnes	14	12	0
puissent	15	12	0
comprendre	16	12	1
Elles	1	13	0
ont	2	13	0
toujours	3	13	0
besoin	4	13	0
d	5	13	0
explications	6	13	1
Mon	1	14	0
dessin	2	14	0
numéro	3	14	0
2	4	14	0
était	5	14	0
comme	6	14	0
ça	7	14	0
les	8	14	0
grandes	9	14	0
personnes	10	14	0
m	11	14	0
ont	12	14	0
conseillé	13	14	0
de	14	14	0
laisser	15	14	0
de	16	14	0
côté	17	14	0
les	18	14	0
dessins	19	14	0
de	20	14	0
serpents	21	14	0
boas	22	14	0
ouverts	23	14	0
ou	24	14	0
fermés	25	14	0
et	26	14	0
de	27	14	0
m	28	14	0
intéresser	29	14	0
plutôt	30	14	0
à	31	14	0
la	32	14	0
géographie	33	14	0
à	34	14	0
l	35	14	0
histoire	36	14	0
au	37	14	0
calcul	38	14	0
et	39	14	0
à	40	14	0
la	41	14	0
grammaire	42	14	1
C	1	15	0
est	2	15	0
ainsi	3	15	0
que	4	15	0
j	5	15	0
ai	6	15	0
abandonné	7	15	0
à	8	15	0
l	9	15	0
âge	10	15	0
de	11	15	0
six	12	15	0
ans	13	15	0
une	14	15	0
magnifique	15	15	0
carrière	16	15	0
de	17	15	0
peintre	18	15	1
J	1	16	0
avais	2	16	0
été	3	16	0
découragé	4	16	0
par	5	16	0
l	6	16	0
insuccès	7	16	0
de	8	16	0
mon	9	16	0
dessin	10	16	0
numéro	11	16	0
1	12	16	0
et	13	16	0
de	14	16	0
mon	15	16	0
dessin	16	16	0
numéro	17	16	0
2	18	16	1
Les	1	17	0
grandes	2	17	0
personnes	3	17	0
ne	4	17	0
comprennent	5	17	0
jamais	6	17	0
rien	7	17	0
toutes	8	17	0
seules	9	17	0
et	10	17	0
c	11	17	0
est	12	17	0
fatigant	13	17	0
pour	14	17	0
les	15	17	0
enfants	16	17	0
de	17	17	0
toujours	18	17	0
et	19	17	0
toujours	20	17	0
leur	21	17	0
donner	22	17	0
des	23	17	0
explications	24	17	1
J	1	18	0
ai	2	18	0
donc	3	18	0
dû	4	18	0
choisir	5	18	0
un	6	18	0
autre	7	18	0
métier	8	18	0
et	9	18	0
j	10	18	0
ai	11	18	0
appris	12	18	0
à	13	18	0
piloter	14	18	0
des	15	18	0
avions	16	18	1
J	1	19	0
ai	2	19	0
volé	3	19	0
un	4	19	0
peu	5	19	0
partout	6	19	0
dans	7	19	0
le	8	19	0
monde	9	19	1
Et	1	20	0
la	2	20	0
géographie	3	20	0
c	4	20	0
est	5	20	0
exact	6	20	0
m	7	20	0
a	8	20	0
beaucoup	9	20	0
servi	10	20	1
Je	1	21	0
savais	2	21	0
reconnaître	3	21	0
du	4	21	0
premier	5	21	0
coup	6	21	0
d	7	21	0
oeil	8	21	0
la	9	21	0
chine	10	21	0
de	11	21	0
l	12	21	0
arizona	13	21	1
C	1	22	0
est	2	22	0
très	3	22	0
utile	4	22	0
si	5	22	0
l	6	22	0
on	7	22	0
s	8	22	0
est	9	22	0
égaré	10	22	0
pendant	11	22	0
la	12	22	0
nuit	13	22	1
J	1	23	0
ai	2	23	0
ainsi	3	23	0
eu	4	23	0
au	5	23	0
cours	6	23	0
de	7	23	0
ma	8	23	0
vie	9	23	0
des	10	23	0
tas	11	23	0
de	12	23	0
contacts	13	23	0
avec	14	23	0
des	15	23	0
tas	16	23	0
de	17	23	0
gens	18	23	0
sérieux	19	23	1
J	1	24	0
ai	2	24	0
beaucoup	3	24	0
vécu	4	24	0
chez	5	24	0
les	6	24	0
grandes	7	24	0
personnes	8	24	1
Je	1	25	0
les	2	25	0
ai	3	25	0
vues	4	25	0
de	5	25	0
très	6	25	0
près	7	25	1
Ça	1	26	0
n	2	26	0
a	3	26	0
pas	4	26	0
trop	5	26	0
amélioré	6	26	0
mon	7	26	0
opinion	8	26	1
Quand	1	27	0
j	2	27	0
en	3	27	0
rencontrais	4	27	0
une	5	27	0
qui	6	27	0
me	7	27	0
paraissait	8	27	0
un	9	27	0
peu	10	27	0
lucide	11	27	0
je	12	27	0
faisais	13	27	0
l	14	27	0
expérience	15	27	0
sur	16	27	0
elle	17	27	0
de	18	27	0
mon	19	27	0
dessin	20	27	0
numéro	21	27	0
1	22	27	0
que	23	27	0
j	24	27	0
ai	25	27	0
toujours	26	27	0
conservé	27	27	0
je	28	27	0
voulais	29	27	0
savoir	30	27	0
si	31	27	0
elle	32	27	0
était	33	27	0
vraiment	34	27	0
compréhensive	35	27	1
Mais	1	28	0
toujours	2	28	0
elle	3	28	0
me	4	28	0
répondait	5	28	0
c	6	28	0
est	7	28	0
un	8	28	0
chapeau	9	28	1
Alors	1	29	0
je	2	29	0
ne	3	29	0
lui	4	29	0
parlais	5	29	0
ni	6	29	0
de	7	29	0
serpents	8	29	0
boas	9	29	0
ni	10	29	0
de	11	29	0
forêts	12	29	0
vierges	13	29	0
ni	14	29	0
d	15	29	0
étoiles	16	29	1
Je	1	30	0
me	2	30	0
mettais	3	30	0
à	4	30	0
sa	5	30	0
portée	6	30	1
Je	1	31	0
lui	2	31	0
parlais	3	31	0
de	4	31	0
bridge	5	31	0
de	6	31	0
golf	7	31	0
de	8	31	0
politique	9	31	0
et	10	31	0
de	11	31	0
cravates	12	31	1
Et	1	32	0
la	2	32	0
grande	3	32	0
personne	4	32	0
était	5	32	0
bien	6	32	0
contente	7	32	0
de	8	32	0
connaître	9	32	0
un	10	32	0
homme	11	32	0
aussi	12	32	0
raisonnable	13	32	1
J	1	33	0
ai	2	33	0
ainsi	3	33	0
vécu	4	33	0
seul	5	33	0
sans	6	33	0
personne	7	33	0
avec	8	33	0
qui	9	33	0
parler	10	33	0
véritablement	11	33	0
jusqu	12	33	0
à	13	33	0
une	14	33	0
panne	15	33	0
dans	16	33	0
le	17	33	0
désert	18	33	0
du	19	33	0
sahara	20	33	0
il	21	33	0
y	22	33	0
a	23	33	0
six	24	33	0
ans	25	33	1
Quelque	1	34	0
chose	2	34	0
s	3	34	0
était	4	34	0
cassé	5	34	0
dans	6	34	0
mon	7	34	0
moteur	8	34	1
Et	1	35	0
comme	2	35	0
je	3	35	0
n	4	35	0
avais	5	35	0
avec	6	35	0
moi	7	35	0
ni	8	35	0
mécanicien	9	35	0
ni	10	35	0
passagers	11	35	0
je	12	35	0
me	13	35	0
préparai	14	35	0
à	15	35	0
essayer	16	35	0
de	17	35	0
réussir	18	35	0
tout	19	35	0
seul	20	35	0
une	21	35	0
réparation	22	35	0
difficile	23	35	1
C	1	36	0
était	2	36	0
pour	3	36	0
moi	4	36	0
une	5	36	0
question	6	36	0
de	7	36	0
vie	8	36	0
