word	position	sentence_id
La	1	1
sixième	2	1
planète	3	1
était	4	1
une	5	1
planète	6	1
dix	7	1
fois	8	1
plus	9	1
vaste	10	1
Elle	1	2
était	2	2
habitée	3	2
par	4	2
un	5	2
vieux	6	2
monsieur	7	2
qui	8	2
écrivait	9	2
d	10	2
énormes	11	2
livres	12	2
tiens	1	3
Voilà	1	4
un	2	4
explorateur	3	4
S	1	5
écria	2	5
t	3	5
il	4	5
quand	5	5
il	6	5
aperçut	7	5
le	8	5
petit	9	5
prince	10	5
Le	1	6
petit	2	6
prince	3	6
s	4	6
assit	5	6
sur	6	6
la	7	6
table	8	6
et	9	6
souffla	10	6
un	11	6
peu	12	6
Il	1	7
avait	2	7
déjà	3	7
tant	4	7
voyagé	5	7
d	1	8
où	2	8
viens	3	8
tu	4	8
Lui	1	9
dit	2	9
le	3	9
vieux	4	9
monsieur	5	9
Quel	1	10
est	2	10
ce	3	10
gros	4	10
livre	5	10
Dit	1	11
le	2	11
petit	3	11
prince	4	11
Que	1	12
faites	2	12
vous	3	12
ici	4	12
Je	1	13
suis	2	13
géographe	3	13
dit	4	13
le	5	13
vieux	6	13
monsieur	7	13
Qu	1	14
est	2	14
ce	3	14
qu	4	14
un	5	14
géographe	6	14
C	1	15
est	2	15
un	3	15
savant	4	15
qui	5	15
connaît	6	15
où	7	15
se	8	15
trouvent	9	15
les	10	15
mers	11	15
les	12	15
fleuves	13	15
les	14	15
villes	15	15
les	16	15
montagnes	17	15
et	18	15
les	19	15
déserts	20	15
Ça	1	16
c	2	16
est	3	16
bien	4	16
intéressant	5	16
dit	6	16
le	7	16
petit	8	16
prince	9	16
Ça	1	17
c	2	17
est	3	17
enfin	4	17
un	5	17
véritable	6	17
métier	7	17
Et	1	18
il	2	18
jeta	3	18
un	4	18
coup	5	18
d	6	18
oeil	7	18
autour	8	18
de	9	18
lui	10	18
sur	11	18
la	12	18
planète	13	18
du	14	18
géographe	15	18
Il	1	19
n	2	19
avait	3	19
jamais	4	19
vu	5	19
encore	6	19
une	7	19
planète	8	19
aussi	9	19
majestueuse	10	19
elle	1	20
est	2	20
bien	3	20
belle	4	20
votre	5	20
planète	6	20
Est	1	21
ce	2	21
qu	3	21
il	4	21
y	5	21
a	6	21
des	7	21
océans	8	21
Je	1	22
ne	2	22
puis	3	22
pas	4	22
le	5	22
savoir	6	22
dit	7	22
le	8	22
géographe	9	22
Ah	1	23
Le	1	24
petit	2	24
prince	3	24
était	4	24
déçu	5	24
Et	1	25
des	2	25
montagnes	3	25
Je	1	26
ne	2	26
puis	3	26
pas	4	26
le	5	26
savoir	6	26
dit	7	26
le	8	26
géographe	9	26
Et	1	27
des	2	27
villes	3	27
et	4	27
des	5	27
fleuves	6	27
et	7	27
des	8	27
déserts	9	27
Je	1	28
ne	2	28
puis	3	28
pas	4	28
le	5	28
savoir	6	28
non	7	28
plus	8	28
dit	9	28
le	10	28
géographe	11	28
Mais	1	29
vous	2	29
êtes	3	29
géographe	4	29
C	1	30
est	2	30
exact	3	30
dit	4	30
le	5	30
géographe	6	30
mais	7	30
je	8	30
ne	9	30
suis	10	30
pas	11	30
explorateur	12	30
Je	1	31
manque	2	31
absolument	3	31
d	4	31
explorateurs	5	31
Ce	1	32
n	2	32
est	3	32
pas	4	32
le	5	32
géographe	6	32
qui	7	32
va	8	32
faire	9	32
le	10	32
compte	11	32
des	12	32
villes	13	32
des	14	32
fleuves	15	32
des	16	32
montagnes	17	32
des	18	32
mers	19	32
des	20	32
océans	21	32
et	22	32
des	23	32
déserts	24	32
Le	1	33
géographe	2	33
est	3	33
trop	4	33
important	5	33
pour	6	33
flâner	7	33
Il	1	34
ne	2	34
quitte	3	34
pas	4	34
son	5	34
bureau	6	34
Mais	1	35
il	2	35
y	3	35
reçoit	4	35
les	5	35
explorateurs	6	35
Il	1	36
les	2	36
interroge	3	36
et	4	36
il	5	36
prend	6	36
en	7	36
note	8	36
leurs	9	36
souvenirs	10	36
Et	1	37
si	2	37
les	3	37
souvenirs	4	37
de	5	37
l	6	37
un	7	37
d	8	37
entre	9	37
eux	10	37
lui	11	37
paraissent	12	37
intéressants	13	37
le	14	37
géographe	15	37
fait	16	37
faire	17	37
une	18	37
enquête	19	37
sur	20	37
la	21	37
moralité	22	37
de	23	37
l	24	37
explorateur	25	37
Pourquoi	1	38
ça	2	38
Parce	1	39
qu	2	39
un	3	39
explorateur	4	39
qui	5	39
mentirait	6	39
entraînerait	7	39
des	8	39
catastrophes	9	39
dans	10	39
les	11	39
livres	12	39
de	13	39
géographie	14	39
Et	1	40
aussi	2	40
un	3	40
explorateur	4	40
qui	5	40
boirait	6	40
trop	7	40
Pourquoi	1	41
ça	2	41
Fit	1	42
le	2	42
petit	3	42
prince	4	42
Parce	1	43
que	2	43
les	3	43
ivrognes	4	43
voient	5	43
double	6	43
Alors	1	44
le	2	44
géographe	3	44
noterait	4	44
deux	5	44
montagnes	6	44
là	7	44
où	8	44
il	9	44
n	10	44
y	11	44
en	12	44
a	13	44
qu	14	44
une	15	44
seule	16	44
Je	1	45
connais	2	45
quelqu	3	45
un	4	45
dit	5	45
le	6	45
petit	7	45
prince	8	45
qui	9	45
serait	10	45
mauvais	11	45
explorateur	12	45
C	1	46
est	2	46
possible	3	46
Donc	1	47
quand	2	47
la	3	47
moralité	4	47
de	5	47
l	6	47
explorateur	7	47
paraît	8	47
bonne	9	47
on	10	47
fait	11	47
une	12	47
enquête	13	47
sur	14	47
sa	15	47
découverte	16	47
On	1	48
va	2	48
voir	3	48
Non	1	49
C	1	50
est	2	50
trop	3	50
compliqué	4	50
Mais	1	51
on	2	51
exige	3	51
de	4	51
l	5	51
explorateur	6	51
qu	7	51
il	8	51
fournisse	9	51
des	10	51
preuves	11	51
S	1	52
il	2	52
s	3	52
agit	4	52
par	5	52
exemple	6	52
de	7	52
la	8	52
découverte	9	52
d	10	52
une	11	52
grosse	12	52
montagne	13	52
on	14	52
exige	15	52
qu	16	52
il	17	52
en	18	52
rapporte	19	52
de	20	52
grosses	21	52
pierres	22	52
Le	1	53
géographe	2	53
soudain	3	53
s	4	53
émut	5	53
mais	1	54
toi	2	54
tu	3	54
viens	4	54
de	5	54
loin	6	54
Tu	1	55
es	2	55
explorateur	3	55
Tu	1	56
vas	2	56
me	3	56
décrire	4	56
ta	5	56
planète	6	56
Et	1	57
le	2	57
géographe	3	57
ayant	4	57
ouvert	5	57
son	6	57
registre	7	57
tailla	8	57
son	9	57
crayon	10	57
On	1	58
note	2	58
d	3	58
abord	4	58
au	5	58
crayon	6	58
les	7	58
récits	8	58
des	9	58
explorateurs	10	58
On	1	59
attend	2	59
pour	3	59
noter	4	59
à	5	59
l	6	59
encre	7	59
que	8	59
l	9	59
explorateur	10	59
ait	11	59
fourni	12	59
des	13	59
preuves	14	59
alors	1	60
Interrogea	1	61
le	2	61
géographe	3	61
Oh	1	62
Chez	1	63
moi	2	63
dit	3	63
le	4	63
petit	5	63
prince	6	63
ce	7	63
n	8	63
est	9	63
pas	10	63
très	11	63
intéressant	12	63
c	13	63
est	14	63
tout	15	63
petit	16	63
J	1	64
ai	2	64
trois	3	64
volcans	4	64
Deux	1	65
volcans	2	65
en	3	65
activité	4	65
et	5	65
un	6	65
volcan	7	65
éteint	8	65
Mais	1	66
on	2	66
ne	3	66
sait	4	66
jamais	5	66
On	1	67
ne	2	67
sait	3	67
jamais	4	67
dit	5	67
le	6	67
géographe	7	67
J	1	68
ai	2	68
aussi	3	68
une	4	68
fleur	5	68
Nous	1	69
ne	2	69
notons	3	69
pas	4	69
les	5	69
fleurs	6	69
dit	7	69
le	8	69
géographe	9	69
Pourquoi	1	70
ça	2	70
C	1	71
est	2	71
le	3	71
plus	4	71
joli	5	71
Parce	1	72
que	2	72
les	3	72
fleurs	4	72
sont	5	72
éphémères	6	72
Qu	1	73
est	2	73
ce	3	73
que	4	73
signifie	5	73
éphémère	6	73
Les	1	74
géographies	2	74
dit	3	74
le	4	74
géographe	5	74
sont	6	74
les	7	74
livres	8	74
les	9	74
plus	10	74
sérieux	11	74
de	12	74
tous	13	74
les	14	74
livres	15	74
Elles	1	75
ne	2	75
se	3	75
démodent	4	75
jamais	5	75
Il	1	76
est	2	76
très	3	76
rare	4	76
qu	5	76
une	6	76
montagne	7	76
change	8	76
de	9	76
place	10	76
Il	1	77
est	2	77
très	3	77
rare	4	77
qu	5	77
un	6	77
océan	7	77
se	8	77
vide	9	77
de	10	77
son	11	77
eau	12	77
Nous	1	78
écrivons	2	78
des	3	78
choses	4	78
éternelles	5	78
Mais	1	79
les	2	79
volcans	3	79
éteints	4	79
peuvent	5	79
se	6	79
réveiller	7	79
interrompit	8	79
le	9	79
petit	10	79
prince	11	79
Qu	1	80
est	2	80
ce	3	80
que	4	80
signifie	5	80
éphémère	6	80
Que	1	81
les	2	81
volcans	3	81
soient	4	81
éteints	5	81
ou	6	81
soient	7	81
éveillés	8	81
ça	9	81
revient	10	81
au	11	81
même	12	81
pour	13	81
nous	14	81
autres	15	81
dit	16	81
le	17	81
géographe	18	81
Ce	1	82
qui	2	82
compte	3	82
pour	4	82
nous	5	82
c	6	82
est	7	82
la	8	82
montagne	9	82
Elle	1	83
ne	2	83
change	3	83
pas	4	83
Mais	1	84
qu	2	84
est	3	84
ce	4	84
que	5	84
signifie	6	84
éphémère	7	84
Répéta	1	85
le	2	85
petit	3	85
prince	4	85
qui	5	85
de	6	85
sa	7	85
vie	8	85
n	9	85
avait	10	85
renoncé	11	85
à	12	85
une	13	85
question	14	85
une	15	85
fois	16	85
qu	17	85
il	18	85
l	19	85
avait	20	85
posée	21	85
Ça	1	86
signifie	2	86
qui	3	86
est	4	86
menacé	5	86
de	6	86
disparition	7	86
prochaine	8	86
Ma	1	87
fleur	2	87
est	3	87
menacée	4	87
de	5	87
disparition	6	87
prochaine	7	87
Bien	1	88
sûr	2	88
ma	1	89
fleur	2	89
est	3	89
éphémère	4	89
se	5	89
dit	6	89
le	7	89
petit	8	89
prince	9	89
et	10	89
elle	11	89
n	12	89
a	13	89
que	14	89
quatre	15	89
épines	16	89
pour	17	89
se	18	89
défendre	19	89
contre	20	89
le	21	89
monde	22	89
Et	1	90
je	2	90
l	3	90
ai	4	90
laissée	5	90
toute	6	90
seule	7	90
chez	8	90
moi	9	90
Ce	1	91
fut	2	91
là	3	91
son	4	91
premier	5	91
mouvement	6	91
de	7	91
regret	8	91
Mais	1	92
il	2	92
reprit	3	92
courage	4	92
Que	5	92
me	6	92
conseillez	7	92
vous	8	92
d	9	92
aller	10	92
visiter	11	92
Demanda	1	93
t	2	93
il	3	93
La	1	94
planète	2	94
Terre	3	94
lui	4	94
répondit	5	94
le	6	94
géographe	7	94
Elle	1	95
a	2	95
une	3	95
bonne	4	95
réputation	5	95
Et	1	96
le	2	96
petit	3	96
prince	4	96
s	5	96
en	6	96
fut	7	96
songeant	8	96
à	9	96
sa	10	96
fleur	11	96
La	1	97
septième	2	97
planète	3	97
fut	4	97
donc	5	97
la	6	97
Terre	7	97
La	1	98
Terre	2	98
n	3	98
est	4	98
pas	5	98
une	6	98
planète	7	98
quelconque	8	98
On	1	99
y	2	99
compte	3	99
cent	4	99
onze	5	99
rois	6	99
en	7	99
n	8	99
oubliant	9	99
pas	10	99
bien	11	99
sûr	12	99
les	13	99
rois	14	99
nègres	15	99
sept	16	99
mille	17	99
géographes	18	99
neuf	19	99
cent	20	99
mille	21	99
businessmen	22	99
sept	23	99
millions	24	99
et	25	99
demi	26	99
d	27	99
ivrognes	28	99
trois	29	99
cent	30	99
onze	31	99
millions	32	99
de	33	99
vaniteux	34	99
c	35	99
est	36	99
à	37	99
dire	38	99
environ	39	99
deux	40	99
milliards	41	99
de	42	99
grandes	43	99
personnes	44	99
Pour	1	100
vous	2	100
donner	3	100
une	4	100
idée	5	100
des	6	100
dimensions	7	100
de	8	100
la	9	100
Terre	10	100
je	11	100
vous	12	100
dirai	13	100
qu	14	100
avant	15	100
l	16	100
invention	17	100
de	18	100
l	19	100
électricité	20	100
on	21	100
y	22	100
devait	23	100
entretenir	24	100
sur	25	100
l	26	100
ensemble	27	100
des	28	100
six	29	100
continents	30	100
une	31	100
véritable	32	100
armée	33	100
de	34	100
quatre	35	100
cent	36	100
soixante	37	100
deux	38	100
mille	39	100
cinq	40	100
cent	41	100
onze	42	100
allumeurs	43	100
de	44	100
réverbères	45	100
Vu	1	101
d	2	101
un	3	101
peu	4	101
loin	5	101
ça	6	101
faisait	7	101
un	8	101
effet	9	101
splendide	10	101
Les	1	102
mouvements	2	102
de	3	102
cette	4	102
armée	5	102
étaient	6	102
réglés	7	102
comme	8	102
ceux	9	102
d	10	102
un	11	102
ballet	12	102
d	13	102
opéra	14	102
D	1	103
abord	2	103
venait	3	103
le	4	103
tour	5	103
des	6	103
allumeurs	7	103
de	8	103
réverbères	9	103
de	10	103
Nouvelle	11	103
Zélande	12	103
et	13	103
d	14	103
Australie	15	103
Puis	1	104
ceux	2	104
ci	3	104
ayant	4	104
allumé	5	104
leurs	6	104
lampions	7	104
s	8	104
en	9	104
allaient	10	104
dormir	11	104
Alors	1	105
entraient	2	105
à	3	105
leur	4	105
tour	5	105
dans	6	105
la	7	105
danse	8	105
les	9	105
allumeurs	10	105
de	11	105
réverbères	12	105
de	13	105
Chine	14	105
et	15	105
de	16	105
Sibérie	17	105
Puis	1	106
eux	2	106
aussi	3	106
s	4	106
escamotaient	5	106
dans	6	106
les	7	106
coulisses	8	106
Alors	1	107
venait	2	107
le	3	107
tour	4	107
des	5	107
allumeurs	6	107
de	7	107
réverbères	8	107
de	9	107
Russie	10	107
et	11	107
des	12	107
Indes	13	107
Puis	1	108
de	2	108
ceux	3	108
d	4	108
Afrique	5	108
et	6	108
d	7	108
Europe	8	108
Puis	1	109
de	2	109
ceux	3	109
d	4	109
Amérique	5	109
du	6	109
Sud	7	109
Puis	1	110
de	2	110
ceux	3	110
d	4	110
Amérique	5	110
du	6	110
Nord	7	110
Et	1	111
jamais	2	111
ils	3	111
ne	4	111
se	5	111
trompaient	6	111
dans	7	111
leur	8	111
ordre	9	111
d	10	111
entrée	11	111
en	12	111
scène	13	111
C	1	112
était	2	112
