subject,run,offset,stretch
1,1,5153.95,0.9999934118422136
1,2,4629.89,0.9999812687312688
1,3,5123.94,0.9999813046479521
1,4,4672.93,0.999980570891958
1,5,5483.92,0.9999930374238468
1,6,5600.87,0.9999811709009724
1,7,4556.88,0.9999923226925853
1,8,4620.9,0.9999809021146568
1,9,4894.6,0.9999817911444266
2,1,20314.95,1.0016882154327595
2,2,8700.89,1.0015968406593407
2,3,7620.94,1.0019169926369074
2,4,6079.93,1.0015122322426047
2,5,6597.92,1.0012288946910357
2,6,7680.87,1.0010100466692669
2,7,6274.88,1.001229904647842
2,8,6221.9,1.0001041702836904
2,9,6081.6,1.000511365360687
3,1,17819.95,1.0017244503005847
3,2,7064.89,1.0009521728271729
3,3,15412.94,1.0014567993557295
3,4,9136.93,1.0005942068876188
3,5,16959.92,1.0018711923411663
3,6,12194.87,1.0017739701155302
3,7,13351.88,1.0016936140156925
3,8,16807.9,1.0012778221466023
3,9,11157.6,1.0000880094686049
4,1,5259.95,1.000858107551676
4,2,5432.89,1.0011925574425575
4,3,7211.94,1.001006672802577
4,4,8870.93,1.0008046888914075
4,5,6603.92,1.0006823324630114
4,6,9382.87,1.0000685917178864
4,7,6911.88,1.0007830853563038
4,8,6491.9,1.0004618215910275
4,9,8368.6,1.0010470091954722
5,1,5250.95,1.0015597463559252
5,2,4690.89,1.0021587787212787
5,3,5056.94,1.0015704095720201
5,4,5236.93,1.0017194760617198
5,5,4901.92,1.0015909486510008
5,6,5221.87,1.0010786383871533
5,7,5083.88,1.001552351559261
5,8,5485.9,1.0009410048960035
5,9,4898.6,1.0015553397468968
6,1,4741.95,1.0008976364983944
6,2,5801.89,1.000053071928072
6,3,7341.94,1.0010037965945697
6,4,8439.93,1.000948788109386
6,5,6092.92,1.0006997389033943
6,6,9516.87,1.0008190658077012
6,7,8177.88,1.0010041918098485
6,8,8442.9,1.0014236605437687
6,9,7960.6,1.0006949713210525
7,1,6683.95,1.0000032940788932
7,2,11582.89,1.0003886738261738
7,3,8218.94,1.0004256787850896
7,4,8310.93,1.0014005148713632
7,5,8145.92,1.0007624020887729
7,6,9197.87,1.0000107594851586
7,7,10206.88,1.0010272237320927
7,8,12818.9,1.0015000520851418
7,9,9754.6,1.0015204394403814
8,1,12699.95,1.0008416371572098
8,2,11703.89,1.0008101273726273
8,3,4981.94,1.000103543488265
8,4,10910.93,1.0005407768405032
8,5,10532.92,1.0001462140992166
8,6,8563.87,1.0000833860099794
8,7,10015.88,1.000331659680317
8,8,8857.9,1.000944477238793
8,9,11832.6,1.0001456708445875
9,1,9220.95,1.001783743720662
9,2,6651.89,1.0010349025974026
9,3,364.94,0.9996634836631385
9,4,15724.93,1.0017615724624775
9,5,13298.92,1.0014342906875544
9,6,8399.87,1.0022218336852582
9,7,7171.88,1.0020037772352481
9,8,7154.9,1.0024618910378833
9,9,9325.6,1.001018178507481
10,1,13891.95,1.001207279914354
10,2,48322.89,1.0015546953046952
10,3,13867.94,1.0001064196962723
10,4,10540.93,1.0003335330213883
10,5,10168.92,1.0014342906875544
10,6,30323.87,1.0021895552297824
10,7,8545.88,1.0003362660647659
10,8,14386.9,1.0012222646619673
10,9,7225.6,1.0004051470365087
11,1,93167.95,1.0014905706991681
11,2,29467.89,1.0010177322677323
11,3,23716.94,1.000306316152784
11,4,21602.93,1.0006735424121238
11,5,9105.92,1.0019303742384682
11,6,8379.87,1.0001116296585209
11,7,8233.88,1.0007247378199517
11,8,6651.9,0.9999930553144206
11,9,8032.6,1.0011926800400597
12,1,5059.95,1.0015152762908672
12,2,7225.89,1.0019605394605393
12,3,7228.94,1.000586746433502
12,4,5849.93,1.0013454657319107
12,5,6444.92,1.0020104438642297
12,6,5839.87,1.000165427084314
12,7,6325.88,1.0006756030524975
12,8,8567.9,0.9995954720650021
12,9,7466.6,1.0005629571181451
13,1,5591.95,1.000589640121881
13,2,12701.89,1.0006821303696305
13,3,13897.94,1.03996491026231
13,4,7613.93,1.0005602059485452
13,5,9520.92,1.0000818102698
13,6,13484.87,1.0007383696690113
13,7,18345.88,1.0495846576688623
13,8,16541.9,1.0009948262092434
13,9,9191.6,1.0017283238748445
14,1,5983.95,1.0006736391336573
14,2,394.89,1.0013658216783217
14,3,5965.94,1.0010685112747353
14,4,5680.93,1.0014733740265207
14,5,7287.92,1.000604003481288
14,6,7184.87,1.0008553790701116
14,7,6256.88,1.0005358760575491
14,8,10509.9,1.0015903329976734
14,9,9334.6,1.0012746198901399
15,1,14725.95,1.0014279832001978
15,2,9011.89,1.001203484015984
15,3,15909.94,1.0012540266912102
15,4,8723.93,1.000778783414018
15,5,10503.92,1.0013002610966057
15,6,9970.87,1.0000013449356449
15,7,10539.88,1.0014556174858353
15,8,9033.9,1.0001788256536686
