subject,score,t
55,0.008261802891365784,-1.0
55,-0.010558619185099831,-0.9
55,0.004927656553896396,-0.8
55,-0.0020990867514716913,-0.7
55,0.0033949606600007717,-0.6
55,-0.008050221436754846,-0.5
55,0.0008766934458380864,-0.4
55,0.019522634224515275,-0.3
55,0.00876915145459054,-0.2
55,-0.00091507337904043,-0.1
55,0.0003798877861777373,0.0
55,0.010879168144661526,0.1
55,0.009343109234230065,0.2
55,0.007682457963557872,0.3
55,0.010571914644915642,0.4
55,0.003267156248819223,0.5
55,0.006325714519260173,0.6
55,0.00506992898068325,0.7
55,-0.010912413134680986,0.8
55,0.0011190330003966935,0.9
55,-0.0010875000280537292,1.0
55,-0.013229793832918104,1.1
55,0.011524892582020082,1.2
55,0.0019047848285835484,1.3
55,-0.0050728828542139694,1.4
55,0.007621217969890144,1.5
55,-0.005787266958987577,1.6
55,0.003232685764518977,1.7
55,0.009286733841278125,1.8
55,-0.0015231451082594963,1.9
55,0.013113199195763777,2.0
55,-0.006785153168167894,2.1
55,-0.0029895584382347543,2.2
55,0.0011795786618207832,2.3
55,0.005772161807989003,2.4
55,-0.0035591973539290524,2.5
55,0.005112461851959369,2.6
55,0.002728976059580003,2.7
55,0.004419828872212456,2.8
55,0.0001558095275088628,2.9
55,-0.007688193053171617,3.0
55,-0.007772325072755466,3.1
55,-0.008373629549360707,3.2
55,0.00194314905513432,3.3
55,0.006422886563102802,3.4
55,-0.004869543470782167,3.5
55,0.004987129761704139,3.6
55,-0.00015892338704571603,3.7
55,0.005885641981551727,3.8
55,0.002234395056146566,3.9
55,0.008035421390521854,4.0
