subject,score,t
26,0.008716654837740671,-4.0
26,-0.008353848536439374,-3.9
26,0.004534911397540003,-3.8
26,0.0014250090479681406,-3.7
26,0.012785676727420833,-3.6
26,0.0270642039317399,-3.5
26,-0.006470785592442407,-3.4
26,-0.01639916572243125,-3.3
26,0.0014369029032333832,-3.2
26,0.013203521647987207,-3.1
26,-0.004183474132085538,-3.0
26,-0.005411690564975751,-2.9
26,0.0007884755410002582,-2.8
26,-0.0008551753760087448,-2.7
26,0.0005721073155330151,-2.6
26,0.005047159062734187,-2.5
26,-0.010360390468517531,-2.4
26,-0.0018800189415332199,-2.3
26,-0.00839373775404243,-2.2
26,0.005971741745347915,-2.1
26,0.004316346322200878,-2.0
26,0.010240063645893653,-1.9
26,0.0054688113610104035,-1.8
26,0.013025766260216018,-1.7
26,0.012778057232312826,-1.6
26,0.004928859854758929,-1.5
26,-0.0020089900328269976,-1.4
26,0.007620782349168704,-1.3
26,0.016862590319386216,-1.2
26,-0.003846915066567001,-1.1
26,0.005729334873568147,-1.0
26,0.022450494481063066,-0.9
26,-0.014698521931031864,-0.8
26,0.003619798585697063,-0.7
26,0.01203008175722437,-0.6
26,0.006084687737814739,-0.5
26,-0.0020817696391261967,-0.4
26,-0.00031369372089429427,-0.3
26,-0.00793673497337272,-0.2
26,0.003143444032622185,-0.1
26,-0.011673441617857922,0.0
26,-0.0015798319702347563,0.1
26,-0.012201967480655844,0.2
26,0.0033443634801542527,0.3
26,-0.0016613043388196862,0.4
26,-0.0018845611081869907,0.5
26,-0.0020254457706997903,0.6
26,-0.0017487486292352321,0.7
26,0.02151787110003248,0.8
26,-0.010322696830840026,0.9
26,0.003223596958782368,1.0
