subject,score,t
1,-0.009964137118011225,-4.0
1,1.3479000230626315e-05,-3.9
1,0.00980844583096632,-3.8
1,-0.0025390505977776093,-3.7
1,-0.00816568755330342,-3.6
1,-0.003580934984289331,-3.5
1,-0.013321227741171967,-3.4
1,-0.011483786616270834,-3.3
1,-0.012075443811516292,-3.2
1,0.013368455593404245,-3.1
1,-0.00794580286380994,-3.0
1,0.0020057205657098916,-2.9
1,0.00804388624997658,-2.8
1,0.0029303838058440854,-2.7
1,0.009007361328906059,-2.6
1,0.008524736270082451,-2.5
1,0.0013129350660268382,-2.4
1,-0.011448662987837784,-2.3
1,-0.011819723976362254,-2.2
1,-0.01420147869256607,-2.1
1,-0.010916467494903702,-2.0
1,-0.0009752623516052238,-1.9
1,0.005593027224107357,-1.8
1,0.005285905577342689,-1.7
1,0.002787496750606647,-1.6
1,0.00965892585661479,-1.5
1,0.007051793579136271,-1.4
1,-0.006812529765384813,-1.3
1,-0.004910835175154262,-1.2
1,-0.007241250443325377,-1.1
1,-0.0007089001677663478,-1.0
1,-0.01944834290357916,-0.9
1,-0.0003973145924597742,-0.8
1,-0.017440994007830942,-0.7
1,-0.0005330986099983091,-0.6
1,-0.0014955992860384152,-0.5
1,-0.007877779430244857,-0.4
1,-0.0030086017382774098,-0.3
1,0.008163712766754526,-0.2
1,0.0066875010374294755,-0.1
1,0.003853851318324915,0.0
1,-0.005563251209570147,0.1
1,0.007773069310888948,0.2
1,-0.0043746031834064805,0.3
1,0.0021472548917540915,0.4
1,-0.0062488855638690366,0.5
1,-0.0045513759278774605,0.6
1,0.005211205508978017,0.7
1,0.01357466670324478,0.8
1,-0.003122596070015474,0.9
1,-0.0027623374092195408,1.0
