,data,trigger_ind,trigger_time,word,word_duration,word_ind,word_time
0,match,0.0,45.823,lorsque,0.3700000000000001,0.0,3.05
1,trigger,1.0,46.193,,,,
2,trigger,2.0,46.254,,,,
3,trigger,3.0,46.303,,,,
4,trigger,4.0,46.355,,,,
5,trigger,5.0,46.703,,,,
6,trigger,6.0,46.759,,,,
7,trigger,7.0,46.953,,,,
8,trigger,8.0,47.009,,,,
9,trigger,9.0,47.173,,,,
10,word,,,j,0.02,,3.42
11,word,,,avais,0.2299999999999999,,3.53
12,word,,,six,0.2499999999999995,,3.93
13,word,,,ans,0.1800000000000006,,4.18
14,match,10.0,47.228,j,0.1399999999999996,5.0,4.4
15,trigger,11.0,47.366,,,,
16,trigger,12.0,47.632,,,,
17,trigger,13.0,47.687,,,,
18,trigger,14.0,47.923,,,,
19,trigger,15.0,47.978,,,,
20,trigger,16.0,48.273,,,,
21,trigger,17.0,48.328,,,,
22,trigger,18.0,48.913,,,,
23,trigger,19.0,48.968,,,,
24,trigger,20.0,49.373,,,,
25,trigger,21.0,49.428,,,,
26,trigger,22.0,49.984,,,,
27,trigger,23.0,50.039,,,,
28,trigger,24.0,50.634,,,,
29,trigger,25.0,50.689,,,,
30,trigger,26.0,50.955,,,,
31,word,,,ai,0.234013,,4.54
32,word,,,vu,0.2904290000000014,,4.859433
33,word,,,une,0.3501379999999985,,5.1498620000000015
34,word,,,fois,0.33,,5.5
35,word,,,une,0.4599999999999999,,6.14
36,word,,,magnifique,0.6100000000000003,,6.6
37,word,,,image,0.5,,7.21
38,word,,,dans,0.3199999999999994,,7.86
39,match,27.0,51.01,un,0.200000000000001,14.0,8.18
40,match,28.0,51.21,livre,0.2699999999999996,15.0,8.38
41,match,29.0,51.481,sur,0.1999999999999993,16.0,8.65
42,trigger,30.0,51.68,,,,
43,trigger,31.0,51.775,,,,
44,trigger,32.0,52.106,,,,
45,trigger,33.0,52.161,,,,
46,trigger,34.0,52.586,,,,
47,word,,,la,0.0999999999999996,,8.85
48,word,,,forêt,0.3800000000000008,,8.95
49,word,,,vierge,0.4800000000000004,,9.33
50,match,35.0,52.641,qui,0.1799999999999997,20.0,9.81
51,match,36.0,52.82,s,0.129999999999999,21.0,9.99
52,trigger,37.0,52.948,,,,
53,trigger,38.0,53.586,,,,
54,trigger,39.0,53.641,,,,
55,trigger,40.0,54.127,,,,
56,trigger,41.0,54.181,,,,
57,trigger,42.0,55.417,,,,
58,trigger,43.0,55.472,,,,
59,trigger,44.0,55.727,,,,
60,trigger,45.0,55.783,,,,
61,trigger,46.0,56.318,,,,
62,word,,,appelait,0.4400000000000013,,10.12
63,word,,,histoires,0.5399999999999991,,10.81
64,word,,,vécues,0.4399999999999995,,11.35
65,word,,,ça,0.3099999999999987,,12.64
66,word,,,représentait,0.5899999999999999,,12.95
67,match,47.0,56.373,un,0.1300000000000007,27.0,13.54
68,trigger,48.0,56.499,,,,
69,trigger,49.0,56.938,,,,
70,trigger,50.0,56.992,,,,
71,trigger,51.0,57.548,,,,
72,word,,,serpent,0.4900000000000002,,13.67
73,word,,,boa,0.379999999999999,,14.16
74,match,52.0,57.602,qui,0.1799999999999997,30.0,14.77
75,trigger,53.0,57.781,,,,
76,trigger,54.0,58.188,,,,
77,word,,,avalait,0.4600000000000008,,14.95
78,match,55.0,58.243,un,0.1400000000000005,32.0,15.41
79,trigger,56.0,58.38,,,,
80,trigger,57.0,59.498,,,,
81,trigger,58.0,59.553,,,,
82,trigger,59.0,59.908,,,,
83,word,,,fauve,0.5799999999999983,,15.55
84,word,,,voilà,0.4100000000000001,,16.72
85,match,60.0,59.963,la,0.1300000000000025,35.0,17.13
86,trigger,61.0,60.09,,,,
87,trigger,62.0,60.428,,,,
88,word,,,copie,0.389999999999997,,17.26
89,match,63.0,60.483,du,0.0750000000000028,37.0,17.65
90,trigger,64.0,60.631,,,,
91,trigger,65.0,62.249,,,,
92,trigger,66.0,62.304,,,,
93,trigger,67.0,62.352,,,,
94,trigger,68.0,62.719,,,,
95,word,,,dessin,0.3999999999999986,,17.8
96,word,,,on,0.0600000000000022,,19.47
97,word,,,disait,0.4100000000000001,,19.53
98,match,69.0,62.774,dans,0.1699999999999981,42.0,19.94
99,match,70.0,62.943,le,0.1500000000000021,43.0,20.11
100,trigger,71.0,63.092,,,,
101,trigger,72.0,63.759,,,,
102,word,,,livre,0.509999999999998,,20.26
103,match,73.0,63.814,les,0.1900000000000012,45.0,20.98
104,trigger,74.0,64.003,,,,
105,trigger,75.0,64.429,,,,
106,trigger,76.0,64.484,,,,
107,trigger,77.0,64.919,,,,
108,trigger,78.0,64.974,,,,
109,trigger,79.0,65.47,,,,
110,word,,,serpents,0.4799999999999969,,21.17
111,word,,,boas,0.4299999999999997,,21.65
112,word,,,avalent,0.5500000000000007,,22.14
113,match,80.0,65.524,leur,0.1899999999999977,49.0,22.69
114,trigger,81.0,65.713,,,,
115,trigger,82.0,66.18,,,,
116,word,,,proie,0.3599999999999994,,22.88
117,match,83.0,66.234,tout,0.25,51.0,23.4
118,trigger,84.0,66.484,,,,
119,trigger,85.0,67.091,,,,
120,trigger,86.0,67.146,,,,
121,trigger,87.0,67.442,,,,
122,word,,,entière,0.6600000000000001,,23.65
123,word,,,sans,0.3500000000000014,,24.31
124,match,88.0,67.496,la,0.129999999999999,54.0,24.66
125,trigger,89.0,67.623,,,,
126,trigger,90.0,68.592,,,,
127,trigger,91.0,68.647,,,,
128,trigger,92.0,69.112,,,,
129,trigger,93.0,69.167,,,,
130,word,,,mâcher,0.490000000000002,,24.79
131,word,,,ensuite,0.5199999999999996,,25.81
132,word,,,ils,0.1000000000000014,,26.33
133,match,94.0,69.261,ne,0.1400000000000005,58.0,26.43
134,match,95.0,69.404,peuvent,0.2300000000000004,59.0,26.57
135,match,96.0,69.636,plus,0.259999999999998,60.0,26.8
136,trigger,97.0,69.897,,,,
137,trigger,98.0,70.488,,,,
138,word,,,bouger,0.4642400000000002,,27.06
139,match,99.0,70.543,et,0.1711549999999988,62.0,27.704903
140,match,100.0,70.713,ils,0.1439419999999991,63.0,27.876058
141,match,101.0,70.856,dorment,0.4200000000000017,64.0,28.02
142,match,102.0,71.278,pendant,0.3299999999999983,65.0,28.44
143,match,103.0,71.609,les,0.1400000000000005,66.0,28.77
144,match,104.0,71.747,six,0.3200000000000003,67.0,28.91
145,match,105.0,72.069,mois,0.2800000000000011,68.0,29.23
146,trigger,106.0,72.349,,,,
147,word,,,de,0.0999999999999978,,29.51
148,match,107.0,72.444,leur,0.1700000000000017,70.0,29.61
149,trigger,108.0,72.618,,,,
150,trigger,109.0,74.98,,,,
151,trigger,110.0,75.035,,,,
152,word,,,digestion,0.5999999999999979,,29.78
153,word,,,j,0.1457989999999966,,32.195161
154,match,111.0,75.179,ai,0.1014249999999989,73.0,32.340959999999995
155,trigger,112.0,75.277,,,,
156,trigger,113.0,75.585,,,,
157,trigger,114.0,75.64,,,,
158,trigger,115.0,76.196,,,,
159,trigger,116.0,76.251,,,,
160,trigger,117.0,76.868,,,,
161,word,,,alors,0.3576150000000027,,32.442384999999994
162,word,,,beaucoup,0.6099999999999994,,32.8
163,word,,,réfléchi,0.6700000000000017,,33.41
164,match,118.0,76.923,sur,0.1700000000000017,77.0,34.08
165,match,119.0,77.092,les,0.2199999999999988,78.0,34.25
166,trigger,120.0,77.312,,,,
167,trigger,121.0,77.759,,,,
168,word,,,aventures,0.5,,34.47
169,match,122.0,77.814,de,0.1200000000000045,80.0,34.97
170,match,123.0,77.93,la,0.1399999999999934,81.0,35.09
171,trigger,124.0,78.072,,,,
172,trigger,125.0,79.02,,,,
173,trigger,126.0,79.075,,,,
174,trigger,127.0,79.391,,,,
175,word,,,jungle,0.480000000000004,,35.23
176,word,,,et,0.1700000000000017,,36.23
177,match,128.0,79.445,à,0.1299999999999954,84.0,36.6
178,match,129.0,79.573,mon,0.2000000000000028,85.0,36.73
179,trigger,130.0,79.775,,,,
180,trigger,131.0,80.271,,,,
181,word,,,tour,0.3400000000000034,,36.93
182,match,132.0,80.325,j,0.1400000000000005,87.0,37.48
183,match,133.0,80.463,ai,0.1200000000000045,88.0,37.62
184,trigger,134.0,80.582,,,,
185,trigger,135.0,81.312,,,,
186,trigger,136.0,81.366,,,,
187,trigger,137.0,81.632,,,,
188,trigger,138.0,81.687,,,,
189,word,,,réussi,0.5700000000000003,,37.74
190,match,139.0,81.781,avec,0.3200000000000003,90.0,38.52
191,trigger,140.0,82.103,,,,
192,trigger,141.0,82.157,,,,
193,trigger,142.0,82.285,,,,
194,trigger,143.0,83.263,,,,
195,word,,,un,0.0999999999999943,,38.84
196,word,,,crayon,0.3700000000000045,,38.94
197,word,,,de,0.1299999999999954,,39.31
198,word,,,couleur,0.5900000000000034,,39.44
199,match,144.0,83.318,à,0.1300000000000025,95.0,40.47
200,trigger,145.0,83.445,,,,
201,trigger,146.0,83.924,,,,
202,word,,,tracer,0.5300000000000011,,40.6
203,match,147.0,83.978,mon,0.1899999999999977,97.0,41.13
204,trigger,148.0,84.208,,,,
205,trigger,149.0,84.645,,,,
206,trigger,150.0,84.699,,,,
207,trigger,151.0,85.585,,,,
208,word,,,premier,0.490000000000002,,41.36
209,word,,,dessin,0.3500000000000014,,41.85
210,match,152.0,85.64,mon,0.2199999999999988,100.0,42.79
211,trigger,153.0,85.859,,,,
212,trigger,154.0,86.225,,,,
213,trigger,155.0,86.279,,,,
214,trigger,156.0,86.815,,,,
215,trigger,157.0,86.87,,,,
216,trigger,158.0,87.715,,,,
217,word,,,dessin,0.4200000000000017,,43.01
218,word,,,numéro,0.490000000000002,,43.43
219,word,,,1,0.1699999999999946,,44.02
220,match,159.0,87.77,il,0.1599999999999966,104.0,44.92
221,trigger,160.0,87.928,,,,
222,trigger,161.0,88.195,,,,
223,word,,,était,0.3200000000000003,,45.08
224,match,162.0,88.249,comme,0.2899999999999991,106.0,45.4
225,trigger,163.0,88.54,,,,
226,trigger,164.0,90.285,,,,
227,trigger,165.0,90.34,,,,
228,word,,,ça,0.2600000000000051,,45.69
229,word,,,j,0.0899999999999963,,47.49
230,match,166.0,90.424,ai,0.1499999999999985,109.0,47.58
231,trigger,167.0,90.579,,,,
232,trigger,168.0,90.896,,,,
233,word,,,montré,0.3700000000000045,,47.73
234,match,169.0,90.951,mon,0.1099999999999994,111.0,48.1
235,trigger,170.0,91.057,,,,
236,trigger,171.0,91.308,,,,
237,trigger,172.0,91.362,,,,
238,trigger,173.0,91.435,,,,
239,word,,,chef,0.2999999999999971,,48.21
240,word,,,-d,0.0800000000000054,,48.51
241,word,,,oeuvre,0.3199999999999932,,48.59
242,match,174.0,91.763,aux,0.0600000000000022,115.0,48.91
243,match,175.0,91.88,grandes,0.2999999999999971,117.0,49.03
244,trigger,176.0,92.223,,,,
245,word,,,personnes,0.6300000000000026,,49.37
246,match,177.0,93.131,et,0.0200000000000031,119.0,50.33
247,trigger,178.0,93.152,,,,
248,trigger,179.0,93.212,,,,
249,word,,,je,0.1499999999999985,,50.35
250,match,180.0,93.353,leur,0.259999999999998,121.0,50.5
251,trigger,181.0,93.616,,,,
252,trigger,182.0,93.677,,,,
253,word,,,ai,0.0700000000000002,,50.76
254,word,,,demandé,0.4299999999999997,,50.83
255,match,183.0,94.117,si,0.1700000000000017,124.0,51.26
256,match,184.0,94.286,mon,0.1400000000000005,125.0,51.43
257,match,185.0,94.426,dessin,0.3900000000000005,126.0,51.57
258,match,186.0,94.819,leur,0.1599999999999966,127.0,51.96
259,trigger,187.0,94.977,,,,
260,trigger,188.0,95.284,,,,
261,trigger,189.0,95.339,,,,
262,trigger,190.0,97.129,,,,
263,trigger,191.0,97.184,,,,
264,trigger,192.0,97.319,,,,
265,trigger,193.0,97.374,,,,
266,trigger,194.0,97.5,,,,
267,trigger,195.0,97.56,,,,
268,trigger,196.0,98.622,,,,
269,trigger,197.0,98.677,,,,
270,trigger,198.0,99.113,,,,
271,word,,,faisait,0.3599999999999994,,52.12
272,word,,,peur,0.4400000000000048,,52.48
273,word,,,elles,0.1899999999999977,,54.32
274,word,,,m,0.0500000000000042,,54.51
275,word,,,ont,0.019999999999996,,54.67
276,word,,,répondu,0.6300000000000026,,54.69
277,word,,,pourquoi,0.4899999999999949,,55.81
278,match,199.0,99.168,un,0.1300000000000025,135.0,56.3
279,trigger,200.0,99.295,,,,
280,trigger,201.0,99.634,,,,
281,trigger,202.0,99.689,,,,
282,trigger,203.0,100.015,,,,
283,word,,,chapeau,0.3900000000000005,,56.43
284,word,,,ferait,0.3800000000000025,,56.82
285,match,204.0,100.07,-il,0.1400000000000005,138.0,57.2
286,trigger,205.0,100.207,,,,
287,trigger,206.0,101.64,,,,
288,word,,,peur,0.4099999999999966,,57.34
289,match,207.0,101.696,mon,0.1499999999999985,140.0,58.82
290,trigger,208.0,101.845,,,,
291,trigger,209.0,102.172,,,,
292,word,,,dessin,0.3000000000000042,,58.97
293,match,210.0,102.227,ne,0.1099999999999994,142.0,59.35
294,trigger,211.0,102.333,,,,
295,trigger,212.0,102.904,,,,
296,word,,,représentait,0.6199999999999974,,59.46
297,match,213.0,102.958,pas,0.240000000000002,144.0,60.08
298,trigger,214.0,103.199,,,,
299,trigger,215.0,103.283,,,,
300,trigger,216.0,104.187,,,,
301,word,,,un,0.0899999999999963,,60.32
302,word,,,chapeau,0.4100000000000037,,60.41
303,match,217.0,104.242,il,0.1400000000000005,147.0,61.36
304,trigger,218.0,104.38,,,,
305,trigger,219.0,105.009,,,,
306,trigger,220.0,105.064,,,,
307,trigger,221.0,105.147,,,,
308,trigger,222.0,105.52,,,,
309,trigger,223.0,105.575,,,,
310,trigger,224.0,105.921,,,,
311,word,,,représentait,0.6799999999999997,,61.5
312,word,,,un,0.0900000000000034,,62.18
313,word,,,serpent,0.4199999999999946,,62.27
314,word,,,boa,0.4000000000000057,,62.69
315,match,225.0,105.976,qui,0.2099999999999937,152.0,63.09
316,trigger,226.0,106.186,,,,
317,trigger,227.0,106.773,,,,
318,word,,,digérait,0.6400000000000006,,63.3
