,data,trigger_ind,trigger_time,word,word_duration,word_ind,word_time
0,match,0.0,45.318,lorsque,0.3700000000000001,0.0,3.05
1,match,1.0,45.688,j,0.02,1.0,3.42
2,match,2.0,45.798,avais,0.2299999999999999,2.0,3.53
3,match,3.0,46.199,six,0.2499999999999995,3.0,3.93
4,match,4.0,46.45,ans,0.1800000000000006,4.0,4.18
5,match,5.0,46.67,j,0.1399999999999996,5.0,4.4
6,match,6.0,46.81,ai,0.234013,6.0,4.54
7,match,7.0,47.13,vu,0.2904290000000014,7.0,4.859433
8,match,8.0,47.42,une,0.3501379999999985,8.0,5.1498620000000015
9,match,9.0,47.771,fois,0.33,9.0,5.5
10,match,10.0,48.413,une,0.4599999999999999,10.0,6.14
11,match,11.0,48.873,magnifique,0.6100000000000003,11.0,6.6
12,match,12.0,49.484,image,0.5,12.0,7.21
13,match,13.0,50.135,dans,0.3199999999999994,13.0,7.86
14,match,14.0,50.455,un,0.200000000000001,14.0,8.18
15,match,15.0,50.655,livre,0.2699999999999996,15.0,8.38
16,match,16.0,50.925,sur,0.1999999999999993,16.0,8.65
17,match,17.0,51.126,la,0.0999999999999996,17.0,8.85
18,match,18.0,51.226,forêt,0.3800000000000008,18.0,8.95
19,match,19.0,51.606,vierge,0.4800000000000004,19.0,9.33
20,match,20.0,52.086,qui,0.1799999999999997,20.0,9.81
21,match,21.0,52.266,s,0.129999999999999,21.0,9.99
22,match,22.0,52.397,appelait,0.4400000000000013,22.0,10.12
23,match,23.0,53.087,histoires,0.5399999999999991,23.0,10.81
24,match,24.0,53.628,vécues,0.4399999999999995,24.0,11.35
25,match,25.0,54.919,ça,0.3099999999999987,25.0,12.64
26,match,26.0,55.229,représentait,0.5899999999999999,26.0,12.95
27,match,27.0,55.82,un,0.1300000000000007,27.0,13.54
28,match,28.0,55.95,serpent,0.4900000000000002,28.0,13.67
29,match,29.0,56.441,boa,0.379999999999999,29.0,14.16
30,match,30.0,57.052,qui,0.1799999999999997,30.0,14.77
31,match,31.0,57.232,avalait,0.4600000000000008,31.0,14.95
32,match,32.0,57.693,un,0.1400000000000005,32.0,15.41
33,match,33.0,57.833,fauve,0.5799999999999983,33.0,15.55
34,match,34.0,59.004,voilà,0.4100000000000001,34.0,16.72
35,match,35.0,59.415,la,0.1300000000000025,35.0,17.13
36,match,36.0,59.545,copie,0.389999999999997,36.0,17.26
37,match,37.0,59.936,du,0.0750000000000028,37.0,17.65
38,match,38.0,60.087,dessin,0.3999999999999986,39.0,17.8
39,match,39.0,61.758,on,0.0600000000000022,40.0,19.47
40,match,40.0,61.818,disait,0.4100000000000001,41.0,19.53
41,match,41.0,62.23,dans,0.1699999999999981,42.0,19.94
42,match,42.0,62.4,le,0.1500000000000021,43.0,20.11
43,match,43.0,62.55,livre,0.509999999999998,44.0,20.26
44,match,44.0,63.271,les,0.1900000000000012,45.0,20.98
45,match,45.0,63.461,serpents,0.4799999999999969,46.0,21.17
46,match,46.0,63.941,boas,0.4299999999999997,47.0,21.65
47,match,47.0,64.433,avalent,0.5500000000000007,48.0,22.14
48,match,48.0,64.983,leur,0.1899999999999977,49.0,22.69
49,match,49.0,65.173,proie,0.3599999999999994,50.0,22.88
50,match,50.0,65.693,tout,0.25,51.0,23.4
51,match,51.0,65.943,entière,0.6600000000000001,52.0,23.65
52,match,52.0,66.604,sans,0.3500000000000014,53.0,24.31
53,match,53.0,66.954,la,0.129999999999999,54.0,24.66
54,match,54.0,67.084,mâcher,0.490000000000002,55.0,24.79
55,match,55.0,68.105,ensuite,0.5199999999999996,56.0,25.81
56,match,56.0,68.626,ils,0.1000000000000014,57.0,26.33
57,match,57.0,68.726,ne,0.1400000000000005,58.0,26.43
58,match,58.0,68.866,peuvent,0.2300000000000004,59.0,26.57
59,match,59.0,69.097,plus,0.259999999999998,60.0,26.8
60,match,60.0,69.357,bouger,0.4642400000000002,61.0,27.06
61,match,61.0,70.004,et,0.1711549999999988,62.0,27.704903
62,match,62.0,70.176,ils,0.1439419999999991,63.0,27.876058
63,match,63.0,70.32,dorment,0.4200000000000017,64.0,28.02
64,match,64.0,70.74,pendant,0.3299999999999983,65.0,28.44
65,match,65.0,71.071,les,0.1400000000000005,66.0,28.77
66,match,66.0,71.211,six,0.3200000000000003,67.0,28.91
67,match,67.0,71.531,mois,0.2800000000000011,68.0,29.23
68,match,68.0,71.811,de,0.0999999999999978,69.0,29.51
69,match,69.0,71.911,leur,0.1700000000000017,70.0,29.61
70,match,70.0,72.082,digestion,0.5999999999999979,71.0,29.78
71,match,71.0,74.501,j,0.1457989999999966,72.0,32.195161
72,match,72.0,74.647,ai,0.1014249999999989,73.0,32.340959999999995
73,match,73.0,74.749,alors,0.3576150000000027,74.0,32.442384999999994
74,match,74.0,75.108,beaucoup,0.6099999999999994,75.0,32.8
75,match,75.0,75.719,réfléchi,0.6700000000000017,76.0,33.41
76,match,76.0,76.39,sur,0.1700000000000017,77.0,34.08
77,match,77.0,76.561,les,0.2199999999999988,78.0,34.25
78,match,78.0,76.781,aventures,0.5,79.0,34.47
79,match,79.0,77.282,de,0.1200000000000045,80.0,34.97
80,match,80.0,77.402,la,0.1399999999999934,81.0,35.09
81,match,81.0,77.542,jungle,0.480000000000004,82.0,35.23
82,match,82.0,78.543,et,0.1700000000000017,83.0,36.23
83,match,83.0,78.914,à,0.1299999999999954,84.0,36.6
84,match,84.0,79.044,mon,0.2000000000000028,85.0,36.73
85,match,85.0,79.245,tour,0.3400000000000034,86.0,36.93
86,match,86.0,79.795,j,0.1400000000000005,87.0,37.48
87,match,87.0,79.936,ai,0.1200000000000045,88.0,37.62
88,match,88.0,80.056,réussi,0.5700000000000003,89.0,37.74
89,match,89.0,80.839,avec,0.3200000000000003,90.0,38.52
90,match,90.0,81.16,un,0.0999999999999943,91.0,38.84
91,match,91.0,81.26,crayon,0.3700000000000045,92.0,38.94
92,match,92.0,81.631,de,0.1299999999999954,93.0,39.31
93,match,93.0,81.761,couleur,0.5900000000000034,94.0,39.44
94,match,94.0,82.792,à,0.1300000000000025,95.0,40.47
95,match,95.0,82.922,tracer,0.5300000000000011,96.0,40.6
96,match,96.0,83.454,mon,0.1899999999999977,97.0,41.13
97,match,97.0,83.684,premier,0.490000000000002,98.0,41.36
98,match,98.0,84.175,dessin,0.3500000000000014,99.0,41.85
99,match,99.0,85.117,mon,0.2199999999999988,100.0,42.79
100,match,100.0,85.337,dessin,0.4200000000000017,101.0,43.01
101,match,101.0,85.757,numéro,0.490000000000002,102.0,43.43
102,match,102.0,86.349,1,0.1699999999999946,103.0,44.02
103,match,103.0,87.25,il,0.1599999999999966,104.0,44.92
104,match,104.0,87.41,était,0.3200000000000003,105.0,45.08
105,match,105.0,87.731,comme,0.2899999999999991,106.0,45.4
106,match,106.0,88.023,ça,0.2600000000000051,107.0,45.69
107,match,107.0,89.828,j,0.0899999999999963,108.0,47.49
108,match,108.0,89.919,ai,0.1499999999999985,109.0,47.58
109,match,109.0,90.069,montré,0.3700000000000045,110.0,47.73
110,match,110.0,90.439,mon,0.1099999999999994,111.0,48.1
111,match,111.0,90.549,chef,0.2999999999999971,112.0,48.21
112,match,112.0,90.85,-d,0.0800000000000054,113.0,48.51
113,match,113.0,90.929,oeuvre,0.3199999999999932,114.0,48.59
114,match,114.0,91.251,aux,0.0600000000000022,115.0,48.91
115,match,115.0,91.371,grandes,0.2999999999999971,117.0,49.03
116,match,116.0,91.711,personnes,0.6300000000000026,118.0,49.37
117,match,117.0,92.672,et,0.0200000000000031,119.0,50.33
118,match,118.0,92.692,je,0.1499999999999985,120.0,50.35
119,trigger,119.0,92.746,,,,
120,word,,,leur,0.259999999999998,,50.5
121,match,120.0,93.103,ai,0.0700000000000002,122.0,50.76
122,match,121.0,93.173,demandé,0.4299999999999997,123.0,50.83
123,match,122.0,93.604,si,0.1700000000000017,124.0,51.26
124,match,123.0,93.774,mon,0.1400000000000005,125.0,51.43
125,match,124.0,93.914,dessin,0.3900000000000005,126.0,51.57
126,match,125.0,94.305,leur,0.1599999999999966,127.0,51.96
127,match,126.0,94.465,faisait,0.3599999999999994,128.0,52.12
128,match,127.0,94.825,peur,0.4400000000000048,129.0,52.48
129,match,128.0,96.668,elles,0.1899999999999977,130.0,54.32
130,match,129.0,96.858,m,0.0500000000000042,131.0,54.51
131,match,130.0,97.019,ont,0.019999999999996,132.0,54.67
132,match,131.0,97.039,répondu,0.6300000000000026,133.0,54.69
133,trigger,132.0,97.089,,,,
134,match,133.0,98.16,pourquoi,0.4899999999999949,134.0,55.81
135,match,134.0,98.651,un,0.1300000000000025,135.0,56.3
136,match,135.0,98.781,chapeau,0.3900000000000005,136.0,56.43
137,match,136.0,99.171,ferait,0.3800000000000025,137.0,56.82
138,match,137.0,99.552,-il,0.1400000000000005,138.0,57.2
139,match,138.0,99.692,peur,0.4099999999999966,139.0,57.34
140,match,139.0,101.174,mon,0.1499999999999985,140.0,58.82
141,match,140.0,101.325,dessin,0.3000000000000042,141.0,58.97
142,match,141.0,101.705,ne,0.1099999999999994,142.0,59.35
143,match,142.0,101.815,représentait,0.6199999999999974,143.0,59.46
144,match,143.0,102.437,pas,0.240000000000002,144.0,60.08
145,match,144.0,102.678,un,0.0899999999999963,145.0,60.32
146,match,145.0,102.768,chapeau,0.4100000000000037,146.0,60.41
