word	onset	duration	trial_type
Mais	0.7	0.3	{'kind': 'word', 'word': 'Mais'}
il	1.0499999999999998	0.3	{'kind': 'word', 'word': 'il'}
arriva	1.3999999999999997	0.3	{'kind': 'word', 'word': 'arriva'}
que	1.7499999999999996	0.3	{'kind': 'word', 'word': 'que'}
le	2.1	0.3	{'kind': 'word', 'word': 'le'}
petit	2.4499999999999997	0.3	{'kind': 'word', 'word': 'petit'}
prince,	2.799999999999999	0.3	{'kind': 'word', 'word': 'prince'}
ayant	3.1499999999999995	0.3	{'kind': 'word', 'word': 'ayant'}
longtemps	3.499999999999999	0.3	{'kind': 'word', 'word': 'longtemps'}
marché	3.849999999999999	0.3	{'kind': 'word', 'word': 'marché'}
à	4.199999999999998	0.3	{'kind': 'word', 'word': 'à'}
travers	4.549999999999999	0.3	{'kind': 'word', 'word': 'travers'}
les	4.899999999999999	0.3	{'kind': 'word', 'word': 'les'}
sables,	5.249999999999998	0.3	{'kind': 'word', 'word': 'sables'}
les	5.599999999999999	0.3	{'kind': 'word', 'word': 'les'}
rocs	5.949999999999998	0.3	{'kind': 'word', 'word': 'rocs'}
et	6.299999999999998	0.3	{'kind': 'word', 'word': 'et'}
les	6.649999999999998	0.3	{'kind': 'word', 'word': 'les'}
neiges,	6.999999999999997	0.3	{'kind': 'word', 'word': 'neiges'}
découvrit	7.349999999999998	0.3	{'kind': 'word', 'word': 'découvrit'}
enfin	7.699999999999997	0.3	{'kind': 'word', 'word': 'enfin'}
une	8.049999999999997	0.3	{'kind': 'word', 'word': 'une'}
route.	8.399999999999997	0.3	{'kind': 'word', 'word': 'route'}
Et	8.749999999999996	0.3	{'kind': 'word', 'word': 'Et'}
les	9.099999999999996	0.3	{'kind': 'word', 'word': 'les'}
routes	9.449999999999996	0.3	{'kind': 'word', 'word': 'routes'}
vont	9.799999999999995	0.3	{'kind': 'word', 'word': 'vont'}
toutes	10.149999999999997	0.3	{'kind': 'word', 'word': 'toutes'}
chez	10.499999999999996	0.3	{'kind': 'word', 'word': 'chez'}
les	10.849999999999996	0.3	{'kind': 'word', 'word': 'les'}
hommes.	11.199999999999996	0.3	{'kind': 'word', 'word': 'hommes'}
«bonjour»,	11.549999999999995	0.3	{'kind': 'word', 'word': '«bonjour»'}
dit-il.	11.899999999999997	0.3	{'kind': 'word', 'word': 'ditil'}
C'était	12.249999999999996	0.3	{'kind': 'word', 'word': 'Cétait'}
un	12.599999999999994	0.3	{'kind': 'word', 'word': 'un'}
jardin	12.949999999999994	0.3	{'kind': 'word', 'word': 'jardin'}
fleuri	13.299999999999994	0.3	{'kind': 'word', 'word': 'fleuri'}
de	13.649999999999997	0.3	{'kind': 'word', 'word': 'de'}
roses.	13.999999999999996	0.3	{'kind': 'word', 'word': 'roses'}
«bonjour»,	14.349999999999994	0.3	{'kind': 'word', 'word': '«bonjour»'}
dirent	14.699999999999994	0.3	{'kind': 'word', 'word': 'dirent'}
les	15.049999999999994	0.3	{'kind': 'word', 'word': 'les'}
roses.	15.399999999999991	0.3	{'kind': 'word', 'word': 'roses'}
Le	15.749999999999991	0.3	{'kind': 'word', 'word': 'Le'}
petit	16.099999999999994	0.3	{'kind': 'word', 'word': 'petit'}
prince	16.449999999999996	0.3	{'kind': 'word', 'word': 'prince'}
les	16.799999999999994	0.3	{'kind': 'word', 'word': 'les'}
regarda.	17.14999999999999	0.3	{'kind': 'word', 'word': 'regarda'}
Elles	17.499999999999993	0.3	{'kind': 'word', 'word': 'Elles'}
ressemblaient	17.849999999999994	0.3	{'kind': 'word', 'word': 'ressemblaient'}
toutes	18.199999999999992	0.3	{'kind': 'word', 'word': 'toutes'}
à	18.549999999999997	0.3	{'kind': 'word', 'word': 'à'}
sa	18.89999999999999	0.3	{'kind': 'word', 'word': 'sa'}
fleur.	19.249999999999996	0.3	{'kind': 'word', 'word': 'fleur'}
«qui	19.59999999999999	0.3	{'kind': 'word', 'word': '«qui'}
êtes-vous?	19.949999999999992	0.3	{'kind': 'word', 'word': 'êtesvous'}
Leur	20.299999999999997	0.3	{'kind': 'word', 'word': 'Leur'}
demanda-t-il,	20.64999999999999	0.3	{'kind': 'word', 'word': 'demandatil'}
stupéfait.	20.999999999999996	0.3	{'kind': 'word', 'word': 'stupéfait'}
Nous	21.34999999999999	0.3	{'kind': 'word', 'word': 'Nous'}
sommes	21.699999999999992	0.3	{'kind': 'word', 'word': 'sommes'}
des	22.04999999999999	0.3	{'kind': 'word', 'word': 'des'}
roses,	22.39999999999999	0.3	{'kind': 'word', 'word': 'roses'}
dirent	22.74999999999999	0.3	{'kind': 'word', 'word': 'dirent'}
les	23.09999999999999	0.3	{'kind': 'word', 'word': 'les'}
roses.	23.449999999999992	0.3	{'kind': 'word', 'word': 'roses'}
Ah!»	23.79999999999999	0.3	{'kind': 'word', 'word': 'Ah»'}
Fit	24.14999999999999	0.3	{'kind': 'word', 'word': 'Fit'}
le	24.49999999999999	0.3	{'kind': 'word', 'word': 'le'}
petit	24.84999999999999	0.3	{'kind': 'word', 'word': 'petit'}
prince...	25.19999999999999	0.3	{'kind': 'word', 'word': 'prince'}
Et	25.54999999999999	0.3	{'kind': 'word', 'word': 'Et'}
il	25.899999999999988	0.3	{'kind': 'word', 'word': 'il'}
se	26.24999999999999	0.3	{'kind': 'word', 'word': 'se'}
sentit	26.59999999999999	0.3	{'kind': 'word', 'word': 'sentit'}
très	26.94999999999999	0.3	{'kind': 'word', 'word': 'très'}
malheureux.	27.29999999999999	0.3	{'kind': 'word', 'word': 'malheureux'}
Sa	27.649999999999988	0.3	{'kind': 'word', 'word': 'Sa'}
fleur	27.99999999999999	0.3	{'kind': 'word', 'word': 'fleur'}
lui	28.349999999999987	0.3	{'kind': 'word', 'word': 'lui'}
avait	28.69999999999999	0.3	{'kind': 'word', 'word': 'avait'}
raconté	29.04999999999999	0.3	{'kind': 'word', 'word': 'raconté'}
qu'elle	29.399999999999988	0.3	{'kind': 'word', 'word': 'quelle'}
était	29.74999999999999	0.3	{'kind': 'word', 'word': 'était'}
seule	30.099999999999987	0.3	{'kind': 'word', 'word': 'seule'}
de	30.44999999999999	0.3	{'kind': 'word', 'word': 'de'}
son	30.799999999999983	0.3	{'kind': 'word', 'word': 'son'}
espèce	31.149999999999988	0.3	{'kind': 'word', 'word': 'espèce'}
dans	31.49999999999999	0.3	{'kind': 'word', 'word': 'dans'}
l'univers.	31.849999999999987	0.3	{'kind': 'word', 'word': 'lunivers'}
Et	32.19999999999999	0.3	{'kind': 'word', 'word': 'Et'}
voici	32.54999999999999	0.3	{'kind': 'word', 'word': 'voici'}
qu'il	32.89999999999999	0.3	{'kind': 'word', 'word': 'quil'}
en	33.24999999999999	0.3	{'kind': 'word', 'word': 'en'}
était	33.59999999999999	0.3	{'kind': 'word', 'word': 'était'}
cinq	33.94999999999999	0.3	{'kind': 'word', 'word': 'cinq'}
mille,	34.29999999999999	0.3	{'kind': 'word', 'word': 'mille'}
toutes	34.64999999999999	0.3	{'kind': 'word', 'word': 'toutes'}
semblables,	34.99999999999999	0.3	{'kind': 'word', 'word': 'semblables'}
dans	35.34999999999999	0.3	{'kind': 'word', 'word': 'dans'}
un	35.69999999999999	0.3	{'kind': 'word', 'word': 'un'}
seul	36.04999999999999	0.3	{'kind': 'word', 'word': 'seul'}
jardin!	36.39999999999999	0.3	{'kind': 'word', 'word': 'jardin'}
«elle	36.74999999999999	0.3	{'kind': 'word', 'word': '«elle'}
serait	37.09999999999999	0.3	{'kind': 'word', 'word': 'serait'}
bien	37.44999999999999	0.3	{'kind': 'word', 'word': 'bien'}
vexée,	37.79999999999999	0.3	{'kind': 'word', 'word': 'vexée'}
se	38.14999999999999	0.3	{'kind': 'word', 'word': 'se'}
dit-il,	38.49999999999999	0.3	{'kind': 'word', 'word': 'ditil'}
si	38.84999999999999	0.3	{'kind': 'word', 'word': 'si'}
elle	39.19999999999999	0.3	{'kind': 'word', 'word': 'elle'}
voyait	39.54999999999999	0.3	{'kind': 'word', 'word': 'voyait'}
ça...	39.89999999999999	0.3	{'kind': 'word', 'word': 'ça'}
Elle	40.24999999999999	0.3	{'kind': 'word', 'word': 'Elle'}
tousserait	40.59999999999999	0.3	{'kind': 'word', 'word': 'tousserait'}
énormément	40.94999999999999	0.3	{'kind': 'word', 'word': 'énormément'}
et	41.29999999999999	0.3	{'kind': 'word', 'word': 'et'}
ferait	41.649999999999984	0.3	{'kind': 'word', 'word': 'ferait'}
semblant	41.99999999999999	0.3	{'kind': 'word', 'word': 'semblant'}
de	42.34999999999999	0.3	{'kind': 'word', 'word': 'de'}
mourir	42.69999999999999	0.3	{'kind': 'word', 'word': 'mourir'}
pour	43.04999999999999	0.3	{'kind': 'word', 'word': 'pour'}
échapper	43.399999999999984	0.3	{'kind': 'word', 'word': 'échapper'}
au	43.74999999999999	0.3	{'kind': 'word', 'word': 'au'}
ridicule.	44.09999999999999	0.3	{'kind': 'word', 'word': 'ridicule'}
Et	44.44999999999999	0.3	{'kind': 'word', 'word': 'Et'}
je	44.79999999999998	0.3	{'kind': 'word', 'word': 'je'}
serais	45.149999999999984	0.3	{'kind': 'word', 'word': 'serais'}
bien	45.49999999999999	0.3	{'kind': 'word', 'word': 'bien'}
obligé	45.84999999999999	0.3	{'kind': 'word', 'word': 'obligé'}
de	46.19999999999999	0.3	{'kind': 'word', 'word': 'de'}
faire	46.54999999999998	0.3	{'kind': 'word', 'word': 'faire'}
semblant	46.899999999999984	0.3	{'kind': 'word', 'word': 'semblant'}
de	47.24999999999999	0.3	{'kind': 'word', 'word': 'de'}
la	47.59999999999999	0.3	{'kind': 'word', 'word': 'la'}
soigner,	47.94999999999998	0.3	{'kind': 'word', 'word': 'soigner'}
car,	48.29999999999998	0.3	{'kind': 'word', 'word': 'car'}
sinon,	48.649999999999984	0.3	{'kind': 'word', 'word': 'sinon'}
pour	48.99999999999999	0.3	{'kind': 'word', 'word': 'pour'}
m'humilier	49.34999999999999	0.3	{'kind': 'word', 'word': 'mhumilier'}
moi	49.69999999999998	0.3	{'kind': 'word', 'word': 'moi'}
aussi,	50.04999999999998	0.3	{'kind': 'word', 'word': 'aussi'}
elle	50.399999999999984	0.3	{'kind': 'word', 'word': 'elle'}
se	50.74999999999999	0.3	{'kind': 'word', 'word': 'se'}
laisserait	51.09999999999998	0.3	{'kind': 'word', 'word': 'laisserait'}
vraiment	51.44999999999998	0.3	{'kind': 'word', 'word': 'vraiment'}
mourir...»	51.79999999999998	0.3	{'kind': 'word', 'word': 'mourir»'}
Puis	52.149999999999984	0.3	{'kind': 'word', 'word': 'Puis'}
il	52.49999999999999	0.3	{'kind': 'word', 'word': 'il'}
se	52.84999999999998	0.3	{'kind': 'word', 'word': 'se'}
dit	53.19999999999998	0.3	{'kind': 'word', 'word': 'dit'}
encore:	53.54999999999998	0.3	{'kind': 'word', 'word': 'encore'}
«Je	53.899999999999984	0.3	{'kind': 'word', 'word': '«Je'}
me	54.24999999999999	0.3	{'kind': 'word', 'word': 'me'}
