word	onset	duration	trial_type
Il	0.7	0.3	{'kind': 'word', 'word': 'Il'}
y	1.0499999999999998	0.3	{'kind': 'word', 'word': 'y'}
avait,	1.3999999999999997	0.3	{'kind': 'word', 'word': 'avait'}
à	1.7499999999999996	0.3	{'kind': 'word', 'word': 'à'}
côté	2.1	0.3	{'kind': 'word', 'word': 'côté'}
du	2.4499999999999997	0.3	{'kind': 'word', 'word': 'du'}
puits,	2.799999999999999	0.3	{'kind': 'word', 'word': 'puits'}
une	3.1499999999999995	0.3	{'kind': 'word', 'word': 'une'}
ruine	3.499999999999999	0.3	{'kind': 'word', 'word': 'ruine'}
de	3.849999999999999	0.3	{'kind': 'word', 'word': 'de'}
vieux	4.199999999999998	0.3	{'kind': 'word', 'word': 'vieux'}
mur	4.549999999999999	0.3	{'kind': 'word', 'word': 'mur'}
de	4.899999999999999	0.3	{'kind': 'word', 'word': 'de'}
pierre.	5.249999999999998	0.3	{'kind': 'word', 'word': 'pierre'}
Lorsque	5.599999999999999	0.3	{'kind': 'word', 'word': 'Lorsque'}
je	5.949999999999998	0.3	{'kind': 'word', 'word': 'je'}
revins	6.299999999999998	0.3	{'kind': 'word', 'word': 'revins'}
de	6.649999999999998	0.3	{'kind': 'word', 'word': 'de'}
mon	6.999999999999997	0.3	{'kind': 'word', 'word': 'mon'}
travail,	7.349999999999998	0.3	{'kind': 'word', 'word': 'travail'}
le	7.699999999999997	0.3	{'kind': 'word', 'word': 'le'}
lendemain	8.049999999999997	0.3	{'kind': 'word', 'word': 'lendemain'}
soir,	8.399999999999997	0.3	{'kind': 'word', 'word': 'soir'}
j'aperçus	8.749999999999996	0.3	{'kind': 'word', 'word': 'japerçus'}
de	9.099999999999996	0.3	{'kind': 'word', 'word': 'de'}
loin	9.449999999999996	0.3	{'kind': 'word', 'word': 'loin'}
mon	9.799999999999995	0.3	{'kind': 'word', 'word': 'mon'}
petit	10.149999999999997	0.3	{'kind': 'word', 'word': 'petit'}
prince	10.499999999999996	0.3	{'kind': 'word', 'word': 'prince'}
assis	10.849999999999996	0.3	{'kind': 'word', 'word': 'assis'}
là-haut,	11.199999999999996	0.3	{'kind': 'word', 'word': 'làhaut'}
les	11.549999999999995	0.3	{'kind': 'word', 'word': 'les'}
jambes	11.899999999999997	0.3	{'kind': 'word', 'word': 'jambes'}
pendantes.	12.249999999999996	0.3	{'kind': 'word', 'word': 'pendantes'}
Et	12.599999999999994	0.3	{'kind': 'word', 'word': 'Et'}
je	12.949999999999994	0.3	{'kind': 'word', 'word': 'je'}
l'entendis	13.299999999999994	0.3	{'kind': 'word', 'word': 'lentendis'}
qui	13.649999999999997	0.3	{'kind': 'word', 'word': 'qui'}
parlait:	13.999999999999996	0.3	{'kind': 'word', 'word': 'parlait'}
"""tu"	14.349999999999994	0.3	{'kind': 'word', 'word': 'tu'}
ne	14.699999999999994	0.3	{'kind': 'word', 'word': 'ne'}
t'en	15.049999999999994	0.3	{'kind': 'word', 'word': 'ten'}
souviens	15.399999999999991	0.3	{'kind': 'word', 'word': 'souviens'}
donc	15.749999999999991	0.3	{'kind': 'word', 'word': 'donc'}
pas?	16.099999999999994	0.3	{'kind': 'word', 'word': 'pas'}
Disait-il.	16.449999999999996	0.3	{'kind': 'word', 'word': 'Disaitil'}
Ce	16.799999999999994	0.3	{'kind': 'word', 'word': 'Ce'}
n'est	17.14999999999999	0.3	{'kind': 'word', 'word': 'nest'}
pas	17.499999999999993	0.3	{'kind': 'word', 'word': 'pas'}
tout	17.849999999999994	0.3	{'kind': 'word', 'word': 'tout'}
à	18.199999999999992	0.3	{'kind': 'word', 'word': 'à'}
fait	18.549999999999997	0.3	{'kind': 'word', 'word': 'fait'}
"ici!"""	18.89999999999999	0.3	{'kind': 'word', 'word': 'ici'}
Une	19.249999999999996	0.3	{'kind': 'word', 'word': 'Une'}
autre	19.59999999999999	0.3	{'kind': 'word', 'word': 'autre'}
voix	19.949999999999992	0.3	{'kind': 'word', 'word': 'voix'}
lui	20.299999999999997	0.3	{'kind': 'word', 'word': 'lui'}
répondit	20.64999999999999	0.3	{'kind': 'word', 'word': 'répondit'}
sans	20.999999999999996	0.3	{'kind': 'word', 'word': 'sans'}
doute,	21.34999999999999	0.3	{'kind': 'word', 'word': 'doute'}
puisqu'il	21.699999999999992	0.3	{'kind': 'word', 'word': 'puisquil'}
répliqua:	22.04999999999999	0.3	{'kind': 'word', 'word': 'répliqua'}
"""si!"	22.39999999999999	0.3	{'kind': 'word', 'word': 'si'}
Si!	22.74999999999999	0.3	{'kind': 'word', 'word': 'Si'}
C'est	23.09999999999999	0.3	{'kind': 'word', 'word': 'Cest'}
bien	23.449999999999992	0.3	{'kind': 'word', 'word': 'bien'}
le	23.79999999999999	0.3	{'kind': 'word', 'word': 'le'}
jour,	24.14999999999999	0.3	{'kind': 'word', 'word': 'jour'}
mais	24.49999999999999	0.3	{'kind': 'word', 'word': 'mais'}
ce	24.84999999999999	0.3	{'kind': 'word', 'word': 'ce'}
n'est	25.19999999999999	0.3	{'kind': 'word', 'word': 'nest'}
pas	25.54999999999999	0.3	{'kind': 'word', 'word': 'pas'}
ici	25.899999999999988	0.3	{'kind': 'word', 'word': 'ici'}
