word	onset	duration	trial_type
Il	0.7	0.25	{'kind': 'word', 'word': 'Il'}
y	1.0	0.25	{'kind': 'word', 'word': 'y'}
avait,	1.3	0.25	{'kind': 'word', 'word': 'avait'}
à	1.6	0.25	{'kind': 'word', 'word': 'à'}
côté	1.9	0.25	{'kind': 'word', 'word': 'côté'}
du	2.2	0.25	{'kind': 'word', 'word': 'du'}
puits,	2.5	0.25	{'kind': 'word', 'word': 'puits'}
une	2.8000000000000007	0.25	{'kind': 'word', 'word': 'une'}
ruine	3.1000000000000005	0.25	{'kind': 'word', 'word': 'ruine'}
de	3.4000000000000004	0.25	{'kind': 'word', 'word': 'de'}
vieux	3.7	0.25	{'kind': 'word', 'word': 'vieux'}
mur	4.000000000000001	0.25	{'kind': 'word', 'word': 'mur'}
de	4.300000000000001	0.25	{'kind': 'word', 'word': 'de'}
pierre.	4.6000000000000005	0.25	{'kind': 'word', 'word': 'pierre'}
Lorsque	4.900000000000001	0.25	{'kind': 'word', 'word': 'Lorsque'}
je	5.200000000000001	0.25	{'kind': 'word', 'word': 'je'}
revins	5.500000000000001	0.25	{'kind': 'word', 'word': 'revins'}
de	5.800000000000001	0.25	{'kind': 'word', 'word': 'de'}
mon	6.1000000000000005	0.25	{'kind': 'word', 'word': 'mon'}
travail,	6.400000000000001	0.25	{'kind': 'word', 'word': 'travail'}
le	6.700000000000001	0.25	{'kind': 'word', 'word': 'le'}
lendemain	7.000000000000001	0.25	{'kind': 'word', 'word': 'lendemain'}
soir,	7.300000000000002	0.25	{'kind': 'word', 'word': 'soir'}
j'aperçus	7.600000000000001	0.25	{'kind': 'word', 'word': 'japerçus'}
de	7.900000000000001	0.25	{'kind': 'word', 'word': 'de'}
loin	8.200000000000001	0.25	{'kind': 'word', 'word': 'loin'}
mon	8.5	0.25	{'kind': 'word', 'word': 'mon'}
petit	8.8	0.25	{'kind': 'word', 'word': 'petit'}
prince	9.1	0.25	{'kind': 'word', 'word': 'prince'}
assis	9.4	0.25	{'kind': 'word', 'word': 'assis'}
là-haut,	9.7	0.25	{'kind': 'word', 'word': 'làhaut'}
les	10.0	0.25	{'kind': 'word', 'word': 'les'}
jambes	10.3	0.25	{'kind': 'word', 'word': 'jambes'}
pendantes.	10.6	0.25	{'kind': 'word', 'word': 'pendantes'}
Et	10.9	0.25	{'kind': 'word', 'word': 'Et'}
je	11.2	0.25	{'kind': 'word', 'word': 'je'}
l'entendis	11.5	0.25	{'kind': 'word', 'word': 'lentendis'}
qui	11.8	0.25	{'kind': 'word', 'word': 'qui'}
parlait:	12.1	0.25	{'kind': 'word', 'word': 'parlait'}
"""tu"	12.4	0.25	{'kind': 'word', 'word': 'tu'}
ne	12.7	0.25	{'kind': 'word', 'word': 'ne'}
t'en	13.000000000000002	0.25	{'kind': 'word', 'word': 'ten'}
souviens	13.3	0.25	{'kind': 'word', 'word': 'souviens'}
donc	13.6	0.25	{'kind': 'word', 'word': 'donc'}
pas?	13.900000000000002	0.25	{'kind': 'word', 'word': 'pas'}
Disait-il.	14.2	0.25	{'kind': 'word', 'word': 'Disaitil'}
Ce	14.500000000000002	0.25	{'kind': 'word', 'word': 'Ce'}
n'est	14.8	0.25	{'kind': 'word', 'word': 'nest'}
pas	15.1	0.25	{'kind': 'word', 'word': 'pas'}
tout	15.400000000000002	0.25	{'kind': 'word', 'word': 'tout'}
à	15.7	0.25	{'kind': 'word', 'word': 'à'}
fait	16.000000000000004	0.25	{'kind': 'word', 'word': 'fait'}
"ici!"""	16.3	0.25	{'kind': 'word', 'word': 'ici'}
Une	16.6	0.25	{'kind': 'word', 'word': 'Une'}
autre	16.900000000000002	0.25	{'kind': 'word', 'word': 'autre'}
voix	17.200000000000003	0.25	{'kind': 'word', 'word': 'voix'}
lui	17.500000000000004	0.25	{'kind': 'word', 'word': 'lui'}
répondit	17.8	0.25	{'kind': 'word', 'word': 'répondit'}
sans	18.1	0.25	{'kind': 'word', 'word': 'sans'}
doute,	18.4	0.25	{'kind': 'word', 'word': 'doute'}
puisqu'il	18.700000000000003	0.25	{'kind': 'word', 'word': 'puisquil'}
répliqua:	19.000000000000004	0.25	{'kind': 'word', 'word': 'répliqua'}
