,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
0,lorsque,lorsque,3.05,3.42,1.6933751519050364,CS,1,3,1,2
1,j',j',3.42,3.44,-5.9586073148417755,CLS,1,2,1,2
2,avais,avais,3.53,3.76,2.895068778041826,V,1,1,3,2
3,six,six,3.93,4.18,2.0695571049527164,DET,1,2,1,2
4,ans,ans,4.18,4.36,2.8562272595158302,NC,1,1,2,2
5,j',j',4.4,4.54,-5.9586073148417755,CLS,1,2,1,2
6,ai,ai,4.54,4.774013,3.867931587226076,V,1,1,1,1
7,vu,vu,4.859433,5.1498620000000015,2.978116578283524,VPP,1,1,2,2
8,une,une,5.1498620000000015,5.5,3.910279072880409,DET,1,2,1,2
9,fois,fois,5.5,5.83,2.9538804465388435,NC,1,1,2,2
10,une,une,6.14,6.6,3.910279072880409,DET,1,2,1,2
11,magnifique,magnifique,6.6,7.21,1.8960850859749805,ADJ,1,1,1,1
12,image,image,7.21,7.71,1.716003344469981,NC,1,1,2,2
13,dans,dans,7.86,8.18,3.6682544901156535,P,1,2,1,2
14,un,un,8.18,8.38,4.10330930142218,DET,1,2,1,2
15,livre,livre,8.38,8.65,2.085682943551149,NC,1,1,1,1
16,sur,sur,8.65,8.85,3.410358759877348,P,1,2,1,2
17,la,la,8.85,8.95,4.204881501436933,DET,1,2,1,2
18,forêt,forêt,8.95,9.33,1.4708513259948173,NC,1,1,1,1
19,vierge,vierge,9.33,9.81,1.639785213982223,ADJ,1,2,2,2
20,qui,qui,9.81,9.99,3.7416651970487536,PROREL,1,3,2,3
21,s',s',9.99,10.12,3.5165261194378967,CLR,1,2,1,2
22,appelait,appelait,10.12,10.56,1.6761446812716667,V,1,1,2,2
23,histoires,histoires,10.81,11.35,1.8102325186673665,NC,1,3,1,2
24,vécues,vécues,11.35,11.79,-0.04575744230573538,ADJ,1,2,11,3
25,ça,ça,12.64,12.95,3.9528820040244574,PRO,1,3,2,3
26,représentait,représentait,12.95,13.54,0.4099331402299121,V,1,2,2,2
27,un,un,13.54,13.67,4.10330930142218,DET,1,2,1,2
28,serpent,serpent,13.67,14.16,1.320354034894642,NC,1,1,1,1
29,boa,boa,14.16,14.54,0.1931246261938506,ADJ,1,2,2,2
30,qui,qui,14.77,14.95,3.7416651970487536,PROREL,1,3,2,3
31,avalait,avalait,14.95,15.41,-0.3372420739065923,V,1,2,2,2
32,un,un,15.41,15.55,4.10330930142218,DET,1,2,1,2
33,fauve,fauve,15.55,16.13,0.17318629755955373,NC,1,1,6,2
34,voilà,voilà,16.72,17.13,2.861199749808765,V,1,3,2,3
35,la,la,17.13,17.26,4.204881501436933,DET,1,2,1,2
36,copie,copie,17.26,17.65,1.250175950525153,NC,1,1,1,1
37,du,de,17.65,17.725,3.6429292337333306,P,1,2,1,2
38, ,le,17.725,17.8,3.6429292337333306,DET,1,2,1,2
39,dessin,dessin,17.8,18.2,1.2533380077496248,NC,1,1,6,2
40,on,on,19.47,19.53,3.9339911415057136,CLS,1,3,1,2
41,disait,disait,19.53,19.94,1.973127854061714,V,1,1,2,2
42,dans,dans,19.94,20.11,3.6682544901156535,P,1,2,1,2
43,le,le,20.11,20.26,4.229259370610864,DET,1,2,1,2
44,livre,livre,20.26,20.77,2.085682943551149,NC,1,1,1,1
45,les,les,20.98,21.17,3.99830860799912,DET,1,3,1,2
46,serpents,serpents,21.17,21.65,1.0526939457716855,NC,1,1,1,1
47,boas,boas,21.65,22.08,-1.221848025792823,ADJ,1,2,3,3
48,avalent,avalent,22.14,22.69,-0.20760824045425474,V,1,2,2,2
49,leur,leur,22.69,22.88,2.4530276938407454,DET,1,2,1,2
50,proie,proie,22.88,23.24,0.96331551611184,NC,1,1,1,1
51,tout,tout,23.4,23.65,3.601400448908066,ADV,1,2,1,2
52,entière,entière,23.65,24.31,1.4224256780131497,ADJ,1,1,3,2
53,sans,sans,24.31,24.66,3.0014914093053013,P,1,2,1,2
54,la,la,24.66,24.79,4.204881501436933,CLO,1,2,1,2
55,mâcher,mâcher,24.79,25.28,0.20682590300666145,VINF,1,1,2,2
56,ensuite,ensuite,25.81,26.33,2.106938451077683,ADV,1,1,5,2
57,ils,ils,26.33,26.43,3.4878550063914817,CLS,1,3,1,2
58,ne,ne,26.43,26.57,4.125709901406003,ADV,1,1,1,1
59,peuvent,peuvent,26.57,26.8,2.1248301497396613,V,1,1,2,2
60,plus,plus,26.8,27.06,3.611609675770642,ADV,1,1,1,1
61,bouger,bouger,27.06,27.524240000000002,1.6465997527002796,VINF,1,3,3,3
62,et,et,27.704903,27.876058,4.110895292218618,CC,1,2,1,2
63,ils,ils,27.876058,28.02,3.4878550063914817,CLS,1,2,1,2
64,dorment,dorment,28.02,28.44,1.020361286791739,V,1,1,2,2
65,pendant,pendant,28.44,28.77,2.5048512983163413,P,1,2,1,2
66,les,les,28.77,28.91,3.99830860799912,DET,1,2,1,2
67,six,six,28.91,29.23,2.0695571049527164,ADJ,1,1,1,1
68,mois,mois,29.23,29.51,2.4945858904700864,NC,1,1,1,1
69,de,de,29.51,29.61,4.401761613355665,P,1,2,1,2
70,leur,leur,29.61,29.78,2.4530276938407454,DET,1,2,1,2
71,digestion,digestion,29.78,30.38,0.17026174473917816,NC,1,1,9,2
72,j',j',32.195161,32.340959999999995,-5.9586073148417755,CLS,1,3,1,2
73,ai,ai,32.340959999999995,32.442384999999994,3.867931587226076,V,1,1,2,2
74,alors,alors,32.442384999999994,32.8,3.249846257203304,ADV,1,1,1,1
75,beaucoup,beaucoup,32.8,33.41,2.7965743332798056,ADV,1,2,1,2
76,réfléchi,réfléchi,33.41,34.08,1.4514794066605563,VPP,1,1,1,1
77,sur,sur,34.08,34.25,3.410358759877348,P,1,2,1,2
78,les,les,34.25,34.47,3.99830860799912,DET,1,2,1,2
79,aventures,aventures,34.47,34.97,0.861534416832827,NC,1,1,1,1
80,de,de,34.97,35.09,4.401761613355665,P,1,2,1,2
81,la,la,35.09,35.23,4.204881501436933,DET,1,2,1,2
82,jungle,jungle,35.23,35.71,1.2108533679874751,NC,1,1,2,2
83,et,et,36.23,36.4,4.110895292218618,CC,1,2,1,2
84,à,à,36.6,36.73,4.0860179562324985,P,1,3,1,2
85,mon,mon,36.73,36.93,3.5853490394350964,DET,1,1,1,1
86,tour,tour,36.93,37.27,2.2444255724203117,N,1,1,8,2
87,j',j',37.48,37.62,-5.9586073148417755,CLS,1,2,1,2
88,ai,ai,37.62,37.74,3.867931587226076,V,1,1,1,1
89,réussi,réussi,37.74,38.31,1.911849797031448,VPP,1,1,2,2
90,avec,avec,38.52,38.84,3.568775318102455,P,1,2,1,2
91,un,un,38.84,38.94,4.10330930142218,DET,1,2,1,2
92,crayon,crayon,38.94,39.31,0.9074113661495178,NC,1,1,1,1
93,de,de,39.31,39.44,4.401761613355665,P,1,2,1,2
94,couleur,couleur,39.44,40.03,1.759365622411749,NC,1,2,5,3
95,à,à,40.47,40.6,4.0860179562324985,P,1,2,1,2
96,tracer,tracer,40.6,41.13,0.31806335584230344,VINF,1,2,2,2
97,mon,mon,41.13,41.32,3.5853490394350964,DET,1,2,1,2
98,premier,premier,41.36,41.85,2.379849178943937,ADJ,1,1,1,1
99,dessin,dessin,41.85,42.2,1.2533380077496248,NC,1,1,2,2
100,mon,mon,42.79,43.01,3.5853490394350964,DET,1,2,1,2
